Gene	Pattern	Frequency
G4	000000000000111101000	1
G24	000000000001111110000	1
G89	000000000011111000000	1
G71	000000000101111101111	1
G77	000000000111110000000	1
G13	000000001000100101000	1
G80	000000001100001000110	1
G72	000000001111000000000	1
G23	000000001111111110000	1
G68	000000010111110100101	1
G100	000000011101000011011	1
G74	000000011111100000000	1
G20	000000101110000000000	1
G11	000000101111100000000	1
G14	000000111111100000000	1
G59	000000111111110000000	1
G12	000001110111000000000	1
G15	000001111111000000000	1
G61	000001111111100000000	1
G64	000010010001010000011	1
G51	000010101011101111010	1
G6	000010111111000000000	1
G50	000011111010000000001	1
G1	000011111111100000000	1
G95	000100100100110110011	1
G87	000100110010101000010	1
G33	000110010011000101000	1
G96	000110111101100100011	1
G63	000111011011010001001	1
G17	000111111101100000000	1
G82	000111111110000000000	1
G10	001000000110000000110	1
G45	001000001011000101001	1
G88	001000110011000110010	1
G22	001010010000001101000	1
G16	001011111111100000000	1
G39	001100110110110000011	1
G35	001101010100100111000	1
G18	001111110111110011000	1
G55	010000100001110000110	1
G78	010100011000111001011	1
G41	010110010111000000000	1
G30	010111111110000000000	1
G75	010111111111011000000	1
G19	011000001100000001000	1
G53	011110111111000000000	1
G21	011111111110000000000	1
G84	011111111111000000000	1
G92	011111111111111010001	1
G76	100000000000001111111	1
G70	100000000001100100110	1
G65	100000000001111011111	1
G60	100000001001111111111	1
G3	100000100010110011000	1
G67	100000100011110010000	1
G91	100000101110100000011	1
G26	100001000001111111111	1
G38	100001001011010111000	1
G32	100001001110001100011	1
G7	100001100100000010100	1
G66	100010000001111110101	1
G49	100010010011100100010	1
G34	100110000001111010100	1
G31	101000000000001000011	1
G47	101010011010011110010	1
G90	101100000000100000000	1
G79	101101100100000011101	1
G43	101101111111111101101	1
G52	101110000010100001001	1
G85	101110000111110111011	1
G46	101111000101110111010	1
G48	101111110000000101011	1
G44	110000000000000001010	1
G99	110000000000111111111	1
G5	110000000001111111111	1
G2	110000000111111111111	1
G97	110000001011001001100	1
G94	110000010011000110001	1
G27	110000100011111000111	1
G25	110000110111100100111	1
G93	110101000001111111100	1
G56	110110001101111101000	1
G58	111010110011011001101	1
G28	111011101000000000011	1
G40	111011110110110101000	1
G9	111100000000001000100	1
G81	111100000000111111111	1
G83	111101111100010001111	1
G37	111110000000111111111	1
G57	111111101100100110100	1
G69	111111110000001111111	1
G29	000000011111000000000	2
G73	000000011111000000000	2
G8	100000000001111111111	7
G36	100000000001111111111	7
G42	100000000001111111111	7
G54	100000000001111111111	7
G62	100000000001111111111	7
G86	100000000001111111111	7
G98	100000000001111111111	7
