Gene	Pattern	Frequency
G88	000000000000000000100	1
G20	000000000000010000000	1
G80	000000000001000111111	1
G61	000000000001110000000	1
G77	000000000111111000000	1
G21	000000001000000000000	1
G54	000000001001111111110	1
G79	000000001101001011000	1
G25	000000001110000000000	1
G15	000000010000000000000	1
G73	000000011111000000000	1
G68	000000011111110100000	1
G24	000000011111111100000	1
G35	000000100001011010100	1
G2	000000100111101001000	1
G8	000000111111100000000	1
G23	000000111111111000000	1
G75	000001111110100000000	1
G74	000001111111110000000	1
G62	000010111111000000000	1
G5	000011010111111011010	1
G1	000011111111110000000	1
G9	000111111111000000000	1
G11	001000001010010001111	1
G55	001010000001100000011	1
G42	001010111101001111101	1
G97	001010111110111001001	1
G56	001011111111000000000	1
G99	001101010111000000000	1
G87	001110110001111001111	1
G30	001111110000011001101	1
G84	001111111110000000000	1
G57	001111111111000000000	1
G22	001111111111100000000	1
G89	001111111111111000000	1
G63	010001000010000011001	1
G40	010001001011110001001	1
G6	010100100010100010000	1
G38	010101101100000000100	1
G26	010110101101010100000	1
G32	010111011000000001100	1
G36	010111011111001010001	1
G95	010111100110000000000	1
G100	011000011010101111000	1
G90	011000111000011101111	1
G17	011010000000001000101	1
G66	011010110111011100010	1
G82	011100111110000000101	1
G96	011101000011100001101	1
G81	011101011110000001001	1
G94	011111100100000001100	1
G58	011111111111000000000	1
G70	100000000000111100001	1
G19	100000000000111110111	1
G10	100000000000111111111	1
G4	100000000001111110101	1
G59	100000011001110011111	1
G33	100000100111000000000	1
G3	100000110111010110000	1
G34	100011011100010101010	1
G93	100011111110111010001	1
G78	100110011011111111111	1
G85	100111001111010000111	1
G50	100111111110100011000	1
G45	101010110000000111000	1
G98	101101101011101000010	1
G76	110000000000000111111	1
G49	110000000000011011111	1
G53	110000000000011111111	1
G16	110000000000111111111	1
G91	110000011111010000100	1
G39	110000101101011000101	1
G65	110000111000001100000	1
G12	110010001000100001011	1
G7	110100101111000100010	1
G27	110101101000111100101	1
G31	111000000000000100100	1
G48	111000000000011111111	1
G92	111011110101010100001	1
G83	111011111001100001111	1
G47	111100000000111111111	1
G69	111110000000001111111	1
G44	111110111000011111111	1
G67	000000000001000000000	2
G72	000000000001000000000	2
G29	000001111111100000000	2
G71	000001111111100000000	2
G14	011111111110000000000	2
G41	011111111110000000000	2
G13	100000000001111111110	2
G43	100000000001111111110	2
G18	111000000000111111111	4
G37	111000000000111111111	4
G51	111000000000111111111	4
G52	111000000000111111111	4
G28	100000000001111111111	5
G46	100000000001111111111	5
G60	100000000001111111111	5
G64	100000000001111111111	5
G86	100000000001111111111	5
