Gene	Pattern	Frequency
G50	000000000000000000010	1
G34	000000000000000000100	1
G11	000000000000000001000	1
G92	000000000000001110110	1
G67	000000000000010000000	1
G100	000000000001010000000	1
G79	000000000010100000000	1
G20	000000000011110110000	1
G73	000000000110000000000	1
G59	000000001111100000000	1
G77	000000001111111000000	1
G24	000000001111111100000	1
G15	000000010000000000001	1
G62	000000010110100000000	1
G71	000000011111100000000	1
G57	000000100110000000000	1
G1	000001011111101000000	1
G19	000100001000100000000	1
G5	001000000000000000000	1
G98	001000000010000000000	1
G14	001010100010000000000	1
G90	011000000000000000000	1
G40	011111111011111111111	1
G55	011111111111111111111	1
G38	100000000000101011100	1
G44	110000000000001111111	1
G43	110000000001111111111	1
G6	110011000000111111111	1
G10	110100000001111111111	1
G94	111000000000011111111	1
G64	111100000001111111111	1
G70	111101111111111110110	1
G63	111110000000001111111	1
G48	111111000000011111111	1
G69	111111100000011111111	1
G49	111111111011111111111	1
G76	111111111100011111111	1
G96	111111111101111111111	1
G52	111111111110111101111	1
G85	111111111110111111111	1
G26	111111111111101111111	1
G13	111111111111111011111	1
G82	111111111111111110111	1
G51	111111111111111111011	1
G53	000000000000000010000	2
G56	000000000000000010000	2
G45	000000000000000100000	2
G47	000000000000000100000	2
G23	000000000000100000000	2
G99	000000000000100000000	2
G61	000000000001110000000	2
G74	000000000001110000000	2
G78	000000000111111000000	2
G89	000000000111111000000	2
G12	000000010000000000000	2
G28	000000010000000000000	2
G58	000000100000000000000	2
G75	000000100000000000000	2
G31	010000000000000000000	2
G35	010000000000000000000	2
G9	011111111110000000000	2
G16	011111111110000000000	2
G42	100000000000000000000	2
G66	100000000000000000000	2
G36	100000000001111111111	2
G91	100000000001111111111	2
G4	110111111111111111111	2
G41	110111111111111111111	2
G8	111011111111111111111	2
G97	111011111111111111111	2
G37	111100000000111111111	2
G95	111100000000111111111	2
G27	000000000100000000000	3
G65	000000000100000000000	3
G81	000000000100000000000	3
G17	000001000000000000000	3
G21	000001000000000000000	3
G88	000001000000000000000	3
G7	000010000000000000000	3
G39	000010000000000000000	3
G54	000010000000000000000	3
G2	101111111111111111111	3
G33	101111111111111111111	3
G68	101111111111111111111	3
G18	111110111111111111111	3
G83	111110111111111111111	3
G86	111110111111111111111	3
G32	000000000000001000000	4
G46	000000000000001000000	4
G84	000000000000001000000	4
G93	000000000000001000000	4
G3	000000000010000000000	4
G25	000000000010000000000	4
G29	000000000010000000000	4
G30	000000000010000000000	4
G22	000000000001000000000	5
G60	000000000001000000000	5
G72	000000000001000000000	5
G80	000000000001000000000	5
G87	000000000001000000000	5
