Gene	Pattern	Frequency
G41	000000000000001010000	1
G22	000000000000101101000	1
G53	000000000000101111111	1
G39	000000000001101111111	1
G43	000000011111000010001	1
G2	000000111111000000000	1
G26	000001000001001100010	1
G29	000001110100000000000	1
G8	000001111111000000000	1
G72	000010110000111110001	1
G17	000011111111111111111	1
G98	000101011110110010000	1
G75	000101100001101101001	1
G66	000111110110000000000	1
G56	000111111110000000000	1
G91	001000000111111011110	1
G45	001000001000000110000	1
G80	001000001001111110010	1
G81	001001000110010010111	1
G18	001010100110100100001	1
G88	001011111011110000100	1
G61	001101001111101101011	1
G28	001110001001100110111	1
G50	001111111110000000000	1
G51	001111111110001000000	1
G57	010000000000110111111	1
G34	010000000010100101111	1
G73	010000000100011110101	1
G67	010000001000100100101	1
G49	010000101000100000000	1
G25	010001001110000000000	1
G79	010010010001000010000	1
G68	010010100111101000100	1
G96	010011011010011010000	1
G11	010011111110001000010	1
G92	010100000001100011101	1
G93	010100010001110001000	1
G13	010111111111000000000	1
G62	011000011010011010110	1
G89	011001000000000000000	1
G82	011001111111011001111	1
G100	011011100010000011000	1
G83	011101110101111000111	1
G97	011111000101011110011	1
G60	011111001110000000100	1
G19	011111111010000000000	1
G31	011111111110001000000	1
G6	100000000000000000000	1
G86	100000000000111111100	1
G42	100000000000111111111	1
G40	100001100101000110000	1
G94	100010110001001010000	1
G76	100011110000011100010	1
G71	100100010010011001110	1
G20	100100110111011000010	1
G9	100110011101110000010	1
G44	101000000001000000110	1
G47	101010100000011110011	1
G69	101011111111111010010	1
G64	110000000000100000101	1
G58	110000000001111111111	1
G55	110000000010111011111	1
G70	110000001111001100010	1
G65	110011100110111110100	1
G54	110101100000111110110	1
G27	111000000000011111111	1
G1	111000000001111111111	1
G63	111000001011001110100	1
G37	111001110001011111010	1
G84	111011001100100001111	1
G59	111100000001111111111	1
G95	111101001011010101011	1
G38	111101111111011110000	1
G85	111111110111000110010	1
G90	111111111110011100000	1
G12	111111111111100000000	1
G10	000011111111100000000	2
G14	000011111111100000000	2
G3	001111111111000000000	2
G46	001111111111000000000	2
G16	100000000001111111011	2
G33	100000000001111111011	2
G7	111010000000011111111	2
G24	111010000000011111111	2
G36	011111111110000000000	3
G77	011111111110000000000	3
G78	011111111110000000000	3
G4	110000000000111111111	3
G32	110000000000111111111	3
G35	110000000000111111111	3
G5	100000000001111111111	10
G15	100000000001111111111	10
G21	100000000001111111111	10
G23	100000000001111111111	10
G30	100000000001111111111	10
G48	100000000001111111111	10
G52	100000000001111111111	10
G74	100000000001111111111	10
G87	100000000001111111111	10
G99	100000000001111111111	10
