ID	400	500	700	750	850
G1	0.694922	0.6427312	0.4758828	0.3295142	0.4496409
G2	0.6393925	0.639989	0.3504601	0.4000239	0.3463174
G3	0.4377361	0.3751413	0.4490175	0.4233258	0.4825112
G4	0.3608998	0.288251	0.5230997	0.5132245	0.5488616
G5	0.5494333	0.6600863	0.5385776	0.6039315	0.6686194
G6	0.1807243	0.1610797	0.2162442	0.2789384	0.2328851
G7	0.1433115	0.0683721	0.2289655	0.2524047	0.1574845
G8	0.3101953	0.2588839	0.5734423	0.6674105	0.682288
G9	0.6377243	0.6815485	0.6037372	0.6157359	0.7425262
G10	0.1392038	0.2651667	0.6801855	0.694597	0.6488367
