ID	350	400	550	650	950
G1	0.6082777	0.694922	0.7209177	0.5057724	0.3877785
G2	0.7454475	0.6393925	0.3935922	0.320069	0.2983178
G3	0.4626535	0.4377361	0.2971343	0.4902672	0.4800826
G4	0.384947	0.3608998	0.3559519	0.3732963	0.5200443
G5	0.5323968	0.5494333	0.6559882	0.6068543	0.5825919
G6	0.1684435	0.1807243	0.1435763	0.1610699	0.263764
G7	0.1185463	0.1433115	0.0673398	0.2126799	0.185037
G8	0.3332697	0.3101953	0.1771854	0.4128781	0.6834992
G9	0.8719448	0.6377243	0.7487243	0.8034022	0.7856939
G10	0.1613596	0.1392038	0.4918322	0.7195646	0.7201087
