ID	250	450	700	750	800
G1	0.6022782	0.5554758	0.4758828	0.3295142	0.2799174
G2	0.5196272	0.6271707	0.3504601	0.4000239	0.3567722
G3	0.4462199	0.4323363	0.4490175	0.4233258	0.4578248
G4	0.3760071	0.2593039	0.5230997	0.5132245	0.4706359
G5	0.5568129	0.5337823	0.5385776	0.6039315	0.5911219
G6	0.1847347	0.139825	0.2162442	0.2789384	0.1785243
G7	0.1195612	0.0836002	0.2289655	0.2524047	0.1855295
G8	0.2460792	0.3174771	0.5734423	0.6674105	0.6880692
G9	0.6638962	0.5832099	0.6037372	0.6157359	0.6823212
G10	0.2069549	0.1652428	0.6801855	0.694597	0.8389318
