ID	0	150	400	550	650
G1	0.4020655	0.6472253	0.694922	0.7209177	0.5057724
G2	0.1818982	0.6454854	0.6393925	0.3935922	0.320069
G3	0.6189904	0.5107856	0.4377361	0.2971343	0.4902672
G4	0.5217162	0.4962337	0.3608998	0.3559519	0.3732963
G5	0.4907231	0.4083757	0.5494333	0.6559882	0.6068543
G6	0.2905775	0.1917342	0.1807243	0.1435763	0.1610699
G7	0.1509204	0.0491273	0.1433115	0.0673398	0.2126799
G8	0.6901824	0.3936219	0.3101953	0.1771854	0.4128781
G9	0.6501443	0.6647488	0.6377243	0.7487243	0.8034022
G10	0.6842189	0.233528	0.1392038	0.4918322	0.7195646
