ID	0	350	400	450	500
G1	0.4020655	0.6082777	0.694922	0.5554758	0.6427312
G2	0.1818982	0.7454475	0.6393925	0.6271707	0.639989
G3	0.6189904	0.4626535	0.4377361	0.4323363	0.3751413
G4	0.5217162	0.384947	0.3608998	0.2593039	0.288251
G5	0.4907231	0.5323968	0.5494333	0.5337823	0.6600863
G6	0.2905775	0.1684435	0.1807243	0.139825	0.1610797
G7	0.1509204	0.1185463	0.1433115	0.0836002	0.0683721
G8	0.6901824	0.3332697	0.3101953	0.3174771	0.2588839
G9	0.6501443	0.8719448	0.6377243	0.5832099	0.6815485
G10	0.6842189	0.1613596	0.1392038	0.1652428	0.2651667
