ID	150	450	750	900	1000
G1	0.7292155	0.6891365	0.6445721	0.6749025	0.6693021
G2	0.5629737	0.6536083	0.2349321	0.0630306	0.2346898
G3	0.4802403	0.5028973	0.5992847	0.7797116	0.7078107
G4	0.6909312	0.5979125	0.7499564	0.5934496	0.6569468
G5	0.0782346	0.0270327	0.1615188	0.1781693	0.2512058
G6	0.5723542	0.4203254	0.6114492	0.6441666	0.6430747
G7	0.2245143	0.3917628	0.0782815	0.1570782	0.0885121
G8	0.4565252	0.2607094	0.6860586	0.6637484	0.6389621
G9	0.5700155	0.5927344	0.6787966	0.6633103	0.618197
G10	0.1029095	0.1571696	0.6779843	0.5083225	0.7452549
