ID	0	50	400	650	750
G1	0.4078953	0.3577595	0.6399301	0.5529081	0.4981211
G2	0.2185342	0.1757856	0.191077	0.1634749	0.1668163
G3	0.7063299	0.5642894	0.412405	0.4531738	0.7419319
G4	0.1863636	0.1761359	0.225195	0.282895	0.237193
G5	0.6499406	0.5798168	0.5196877	0.6906824	0.7223653
G6	0.6578917	0.8335105	0.5712541	0.6894662	0.7462199
G7	0.3466128	0.2975041	0.044192	0.2423115	0.3497454
G8	0.8576961	0.2149529	0.0672074	0.6702528	0.6684966
G9	0.7811452	0.5984654	0.6155896	0.6821383	0.6135085
G10	0.7189921	0.6966484	0.5863873	0.5650448	0.6918944
