ID	100	150	500	700	1000
G1	0.5531377	0.5092814	0.6816826	0.4619332	0.6819136
G2	0.154923	0.209009	0.171913	0.1342342	0.1564015
G3	0.6525948	0.3688447	0.2433661	0.780616	0.6805011
G4	0.1716281	0.1903398	0.2463323	0.1798195	0.1569644
G5	0.5519256	0.489205	0.5160031	0.7606458	0.7266528
G6	0.7744013	0.7239408	0.5323649	0.6954214	0.6919485
G7	0.2241624	0.148895	0.0786067	0.363212	0.3815922
G8	0.0810286	0.0265867	0.0236519	0.6434957	0.7384673
G9	0.6502929	0.7099093	0.7084438	0.8993064	0.7184888
G10	0.6162392	0.6915596	0.7353064	0.7504237	0.6645195
