ID	300	400	500	900	1000
G1	0.6851216	0.6399301	0.6816826	0.5411319	0.6819136
G2	0.1369804	0.191077	0.171913	0.1948401	0.1564015
G3	0.223282	0.412405	0.2433661	0.5844153	0.6805011
G4	0.2020476	0.225195	0.2463323	0.1839918	0.1569644
G5	0.4476192	0.5196877	0.5160031	0.8005798	0.7266528
G6	0.6275918	0.5712541	0.5323649	0.6847374	0.6919485
G7	0.060973	0.044192	0.0786067	0.3879303	0.3815922
G8	0.0269157	0.0672074	0.0236519	0.6730306	0.7384673
G9	0.6668893	0.6155896	0.7084438	0.6140042	0.7184888
G10	0.6340938	0.5863873	0.7353064	0.8026293	0.6645195
