ID	100	200	500	550	1000
G1	0.6544522	0.3912231	0.195472	0.286707	0.6208871
G2	0.7675325	0.6013822	0.5425136	0.3552149	0.5848911
G3	0.309383	0.1306104	0.1428108	0.1570802	0.4098903
G4	0.1820262	0.398367	0.6195589	0.5198478	0.125535
G5	0.0755614	0.053122	0.0361319	0.0397012	0.0429783
G6	0.0662428	0.0374083	0.0497217	0.0533049	0.0440719
G7	0.0672242	0.1605869	0.1259602	0.0931174	0.0404184
G8	0.1433478	0.1311502	0.1847967	0.5551999	0.6506816
G9	0.3673358	0.7338921	0.6014439	0.639162	0.3942687
G10	0.4125779	0.351023	0.4163339	0.7608275	0.8640166
