ID	0	50	200	700	850
G1	0.6665114	0.3257748	0.0930693	0.6437458	0.751684
G2	0.1272186	0.1218223	0.1398431	0.0906398	0.0985328
G3	0.3550646	0.3464115	0.3435551	0.3817925	0.4541817
G4	0.7745716	0.7229108	0.5354375	0.7448212	0.7086632
G5	0.1004299	0.1924591	0.5583316	0.1906673	0.1391781
G6	0.275493	0.3107637	0.2994227	0.304971	0.3146772
G7	0.6067846	0.6096963	0.4145393	0.6356541	0.3950302
G8	0.7430983	0.7567515	0.6771472	0.6836201	0.6562918
G9	0.6656366	0.5554138	0.5478739	0.8094115	0.6583495
G10	0.6950638	0.7327167	0.7512751	0.7286575	0.6836276
