ID	200	250	300	600	850
G1	0.0930693	0.0653015	0.1502136	0.5545089	0.751684
G2	0.1398431	0.0886361	0.094808	0.1443166	0.0985328
G3	0.3435551	0.3124305	0.4126412	0.4763379	0.4541817
G4	0.5354375	0.5255509	0.4599706	0.6233838	0.7086632
G5	0.5583316	0.6429076	0.5350145	0.3257959	0.1391781
G6	0.2994227	0.3676576	0.2992928	0.3239021	0.3146772
G7	0.4145393	0.5788573	0.5993621	0.4196698	0.3950302
G8	0.6771472	0.8026375	0.6181808	0.72992	0.6562918
G9	0.5478739	0.5983088	0.7288696	0.5791635	0.6583495
G10	0.7512751	0.6088625	0.6660468	0.6029599	0.6836276
