Gene	Pattern	Frequency
G41	000000000000000110000	1
G44	000000000000010000000	1
G22	000000000000101000000	1
G39	000000000010000000000	1
G37	000000000100000000000	1
G30	000000001000100000000	1
G80	000000001100000000000	1
G61	000000010000000000000	1
G99	000000010000011000000	1
G21	000000100000000000000	1
G10	000000100001000000000	1
G88	000001000000000001000	1
G58	000001111111100000000	1
G45	000001111111110000000	1
G91	000010000000000000000	1
G17	000100000010000000000	1
G15	000110111110000000000	1
G20	000111111110000000001	1
G11	000111111111100000000	1
G93	001000000000000000000	1
G78	001000000000100000000	1
G87	001100000000000000000	1
G62	001100100100001010001	1
G42	001111110100000000000	1
G29	001111111111100000000	1
G12	001111111111111111000	1
G79	010000000000001011010	1
G76	011111111110000000000	1
G35	011111111111110000100	1
G84	011111111111111111110	1
G9	100000000000001011011	1
G23	100000000001111111111	1
G71	100000010000000000000	1
G18	101000110000000000000	1
G48	110000000001111111111	1
G3	111011111111111111111	1
G55	111100000000011111111	1
G47	111110000000000111111	1
G72	111111011111111111110	1
G1	111111101111111111111	1
G6	111111110111011111111	1
G24	111111111111110011111	1
G67	111111111111110101111	1
G83	111111111111110111111	1
G7	111111111111111101101	1
G82	111111111111111110111	1
G50	000000000000000001000	2
G73	000000000000000001000	2
G60	000000000000000010000	2
G97	000000000000000010000	2
G8	100000000000000000000	2
G54	100000000000000000000	2
G13	101111111111111111111	2
G56	101111111111111111111	2
G75	111110111111111111111	2
G77	111110111111111111111	2
G14	111111111111011111111	2
G98	111111111111011111111	2
G69	111111111111111011111	2
G86	111111111111111011111	2
G2	111111111111111111011	2
G32	111111111111111111011	2
G19	000000000000000000010	3
G52	000000000000000000010	3
G95	000000000000000000010	3
G5	000000000000000100000	3
G33	000000000000000100000	3
G38	000000000000000100000	3
G16	000000000000001000000	3
G28	000000000000001000000	3
G36	000000000000001000000	3
G59	000000000000100000000	3
G66	000000000000100000000	3
G90	000000000000100000000	3
G51	000000001000000000000	3
G65	000000001000000000000	3
G70	000000001000000000000	3
G4	011111111111111111111	3
G31	011111111111111111111	3
G43	011111111111111111111	3
G26	111111110111111111111	3
G46	111111110111111111111	3
G85	111111110111111111111	3
G27	111111111111101111111	3
G40	111111111111101111111	3
G49	111111111111101111111	3
G25	111111111111111111101	3
G64	111111111111111111101	3
G92	111111111111111111101	3
G34	111111111111111111110	3
G63	111111111111111111110	3
G94	111111111111111111110	3
G53	000000000000000000100	4
G68	000000000000000000100	4
G74	000000000000000000100	4
G89	000000000000000000100	4
G57	000000000001000000000	4
G81	000000000001000000000	4
G96	000000000001000000000	4
G100	000000000001000000000	4
