Gene	Pattern	Frequency
G54	000000000000000001111	1
G30	000000000000000100000	1
G86	000000000000000110000	1
G5	000000000000001001000	1
G59	000000000000011000000	1
G93	000000000000110000000	1
G69	000000000000111000000	1
G89	000000000000111111111	1
G16	000000010000000000000	1
G32	000001000000000000011	1
G52	000001000000010100000	1
G44	000001000000100000000	1
G63	000001111111111111111	1
G46	000010000001000000000	1
G23	000010001000000000000	1
G61	000101000000000000000	1
G77	000101001000001111110	1
G57	001000000000000000000	1
G1	001111111110000000000	1
G55	010000010001000101110	1
G9	010001010001001100110	1
G45	100000000000000000000	1
G73	100000000000000000100	1
G79	110000000001111111111	1
G71	111011111110111011101	1
G33	111101111111111111111	1
G14	111110011111011111111	1
G91	111110110011101100011	1
G80	111111000000000000000	1
G90	111111000001111111111	1
G60	111111101111111111111	1
G4	111111111011111111111	1
G94	111111111100000000011	1
G17	111111111100111111111	1
G34	111111111111011111111	1
G56	111111111111100011111	1
G42	111111111111111011111	1
G67	111111111111111101111	1
G3	111111111111111111101	1
G10	000000000000001000000	2
G24	000000000000001000000	2
G20	000000000000100000000	2
G85	000000000000100000000	2
G39	000000000100000000000	2
G96	000000000100000000000	2
G28	000000001000000000000	2
G87	000000001000000000000	2
G15	000001000000000000000	2
G21	000001000000000000000	2
G6	010000000000000000000	2
G81	010000000000000000000	2
G58	011111111110000000000	2
G76	011111111110000000000	2
G35	011111111111111111111	2
G88	011111111111111111111	2
G43	101111111111111111111	2
G66	101111111111111111111	2
G50	111111110111111111111	2
G82	111111110111111111111	2
G7	111111111110011111111	2
G64	111111111110011111111	2
G2	111111111111001111111	2
G26	111111111111001111111	2
G25	111111111111111110111	2
G83	111111111111111110111	2
G11	111111111111111111011	2
G12	111111111111111111011	2
G53	111111111111111111110	2
G99	111111111111111111110	2
G48	000000000000000001000	3
G74	000000000000000001000	3
G92	000000000000000001000	3
G47	000000000010000000000	3
G49	000000000010000000000	3
G68	000000000010000000000	3
G19	100000000001111111111	3
G41	100000000001111111111	3
G72	100000000001111111111	3
G18	111111111110111111111	3
G29	111111111110111111111	3
G65	111111111110111111111	3
G40	000000000000000000010	4
G62	000000000000000000010	4
G75	000000000000000000010	4
G98	000000000000000000010	4
G8	000010000000000000000	4
G31	000010000000000000000	4
G51	000010000000000000000	4
G84	000010000000000000000	4
G38	000000000000010000000	5
G70	000000000000010000000	5
G95	000000000000010000000	5
G97	000000000000010000000	5
G100	000000000000010000000	5
G13	000000000000000000001	6
G22	000000000000000000001	6
G27	000000000000000000001	6
G36	000000000000000000001	6
G37	000000000000000000001	6
G78	000000000000000000001	6
