Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1
G2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G3	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1
G4	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1
G5	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
G6	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0
G7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1
G8	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
G9	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G10	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0
G11	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1
G12	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G13	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G14	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G15	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0
G16	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G17	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1
G18	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
G19	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G20	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
G21	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0
G22	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1
G23	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1
G24	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G25	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G26	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
G27	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1
G28	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1
G29	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G30	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G31	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G32	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G33	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G34	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G35	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
G36	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
G37	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
G38	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1
G39	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1
G40	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0
G41	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1
G42	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0
G43	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G44	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0
G45	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1
G46	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1
G47	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
G48	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
G49	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
G50	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
G51	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1
G52	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G54	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G55	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
G56	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0
G57	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
G58	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0
G59	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G60	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1
G61	0	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0
G62	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
G63	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0
G64	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G65	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
G66	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G67	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G68	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
G69	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0
G70	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1
G71	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
