Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(G93 & !G96) | (G79 & !G93 & G96)	0	3
G2	G2(1)	(G8 & G13)	0	2
G3	G3(1)	(!G32 & !G77 & !G97) | (G32 & G97) | (G32 & G77)	0	3
G4	G4(1)	(G13 & G98)	0	2
G5	G5(1)	(!G77 & !G83 & G91 & G97) | (G83 & !G91 & !G97) | (G77 & !G83 & G91 & !G97) | (G77 & G83 & !G91)	0	4
G6	G6(1)	(!G98) | (!G13)	0	2
G7	G7(1)	(!G8 & !G10 & G54) | (!G8 & G10 & !G54) | (G8 & !G10 & !G54) | (G8 & G10 & G54)	0	3
G8	G8(1)	(G98 & !G100) | (!G97 & G98) | (G97 & !G100)	0	3
G9	G9(1)	(!G1 & !G41 & G70) | (!G1 & G41 & !G70) | (G1 & !G41 & !G70) | (G1 & G41 & G70)	0	3
G10	G10(1)	(!G59 & !G98) | (!G96 & G98) | (G96 & !G98)	0	3
G11	G11(1)	(G74 & !G86 & G96) | (G74 & G86 & !G96)	0	3
G12	G12(1)	(!G80 & !G100) | (G98 & !G100) | (G80 & G98)	0	3
G13	G13(1)	(!G92) | (!G64 & !G67) | (G64 & G67)	0	3
G14	G14(1)	(!G73 & !G98 & G100) | (G73 & !G98 & !G100) | (G73 & G98 & G100)	0	3
G15	G15(1)	(!G77 & G80) | (G68 & !G80)	0	3
G16	G16(1)	(!G41 & !G65)	0	2
G17	G17(1)	(!G87 & !G89) | (G87 & G89 & !G97)	0	3
G18	G18(1)	(!G74 & !G94 & G97) | (G74 & !G94 & !G97)	0	3
G19	G19(1)	(!G78 & !G94)	0	2
G20	G20(1)	(G68)	0	1
G21	G21(1)	(!G15 & !G21 & !G46) | (G15 & !G21 & G46)	0	3
G22	G22(1)	(!G31 & G79) | (!G1 & G31 & !G79) | (G1 & !G31) | (G1 & G79)	0	3
G23	G23(1)	(!G83) | (!G51 & G73) | (G51 & !G73)	0	3
G24	G24(1)	(G43 & !G48)	0	2
G25	G25(1)	(G24)	0	1
G26	G26(1)	(!G39) | (G8)	0	2
G27	G27(1)	(!G42 & !G78)	0	2
G28	G28(1)	(!G64 & G100) | (!G64 & G97)	0	3
G29	G29(1)	(G6)	0	1
G30	G30(1)	(!G87) | (G94)	0	2
G31	G31(1)	(!G39 & !G71 & G100) | (!G39 & G71 & !G100) | (G39 & !G71 & !G100) | (G39 & G71 & G100)	0	3
G32	G32(1)	(G94) | (G78)	0	2
G33	G33(1)	(!G69 & G78) | (G69 & G100)	0	3
G34	G34(1)	(!G65 & !G69 & G91) | (!G65 & G69 & !G91) | (G65 & !G69 & !G91)	0	3
G35	G35(1)	(!G6)	0	1
G36	G36(1)	(!G92 & G96) | (G89 & G92 & !G96)	0	3
G37	G37(1)	(!G62) | (G100)	0	2
G38	G38(1)	(!G97 & G98 & !G100) | (G97 & G100)	0	3
G39	G39(1)	(!G81 & G92) | (G81 & !G92 & !G100) | (G92 & G100)	0	3
G40	G40(1)	(!G58 & !G83 & G87) | (G83 & !G87)	0	3
G41	G41(1)	(!G31 & !G71) | (G31 & G71 & G79)	0	3
G42	G42(1)	(!G7 & G81)	0	2
G43	G43(1)	(!G8 & !G78)	0	2
G44	G44(1)	(G71 & G75)	0	2
G45	G45(1)	(G58 & !G68 & !G80) | (G58 & G68 & G80)	0	3
G46	G46(1)	(!G17 & !G55 & G96) | (G55 & !G96) | (G17 & !G96) | (G17 & G55)	0	3
G47	G47(1)	(G75 & !G87)	0	2
G48	G48(1)	(!G79 & !G93 & G99) | (G79 & G93 & G99)	0	3
G49	G49(1)	(!G87 & !G96 & !G97) | (!G87 & G96 & G97)	0	3
G50	G50(1)	(!G68) | (G47)	0	2
G51	G51(1)	(!G51 & !G98) | (!G98 & G99) | (G51 & G99)	0	3
G52	G52(1)	(!G86 & !G97) | (G68)	0	3
G53	G53(1)	(!G30)	0	1
G54	G54(1)	(!G94) | (G72)	0	2
G55	G55(1)	(!G77 & !G78 & !G83) | (!G77 & G78 & G83 & !G96) | (G77 & !G78 & G83 & !G96)	0	4
G56	G56(1)	(!G69 & !G93 & !G97) | (!G69 & G93 & G97)	0	3
G57	G57(1)	(!G13) | (!G8)	0	2
G58	G58(1)	(!G92 & G97 & !G100) | (G92 & !G97 & G100) | (G80 & G92 & !G100)	0	4
G59	G59(1)	(!G1 & G9 & G79) | (G1 & !G79)	0	3
G60	G60(1)	(!G13) | (!G8)	0	2
G61	G61(1)	(!G12 & !G67 & !G68) | (!G12 & G67 & G68) | (G12 & !G67 & G68)	0	3
G62	G62(1)	(G31 & !G32)	0	2
G63	G63(1)	(!G13) | (!G69 & G72) | (G69 & !G72)	0	3
G64	G64(1)	(!G15 & !G76 & !G94) | (G76 & G94)	0	3
G65	G65(1)	(!G79 & !G81 & !G83) | (G79 & !G81 & G83) | (G79 & G81 & !G83)	0	3
G66	G66(1)	(!G34 & !G42 & G61) | (!G34 & G42 & !G61) | (G34 & G42 & G61)	0	3
G67	G67(1)	(!G80 & !G92 & !G94) | (G92 & G94 & G97) | (!G92 & !G94 & G97) | (G80 & G92 & !G94 & !G97)	0	4
G68	G68(1)	(G62)	0	1
G69	G69(1)	(!G96 & !G97 & !G99) | (!G80 & G96 & !G97 & G99) | (G80 & !G96 & G97 & G99) | (G80 & !G97 & !G99)	0	4
G70	G70(1)	(!G18 & !G21 & !G74) | (G18 & G74) | (G18 & G21)	0	3
G71	G71(1)	(!G42 & G75) | (!G42 & G67) | (G42 & !G67 & !G75)	0	3
G72	G72(1)	(!G46 & G84) | (!G46 & G69) | (G46 & !G69 & !G84) | (G69 & G84)	0	3
G73	G73(1)	(!G36 & G74) | (!G21 & G36 & !G74) | (G21 & !G36) | (G21 & G74)	0	3
G74	G74(1)	(!G81 & !G94) | (!G77 & !G81)	0	3
G75	G75(1)	(!G21 & !G73) | (G73 & G86)	0	3
G76	G76(1)	(!G41 & !G66 & !G94) | (!G41 & G66 & G94)	0	3
G77	G77(1)	(!G30 & !G51 & G58) | (G30 & !G51 & !G58) | (G30 & G51 & G58)	0	3
G78	G78(1)	(!G87)	0	1
G79	G79(1)	(!G73 & !G79) | (!G31 & !G79) | (G31 & G73 & G79)	0	3
G80	G80(1)	(!G50 & G93) | (!G50 & G66) | (G50 & !G66 & !G93)	0	3
G81	G81(1)	(!G77 & G78 & G84) | (G77 & !G78 & !G84)	0	3
G82	G82(1)	(!G78 & !G87)	0	2
G83	G83(1)	(!G41 & !G44) | (!G44 & G71) | (G41 & G44 & !G71)	0	3
G84	G84(1)	(!G16 & !G18 & G24) | (!G16 & G18 & !G24) | (G16 & !G18 & !G24)	0	3
G85	G85(1)	(G8 & G13)	0	2
G86	G86(1)	(!G96 & !G98) | (G83 & !G98)	0	3
G87	G87(1)	(!G35 & !G42) | (G35 & G42)	0	2
G88	G88(1)	(!G13) | (!G8)	0	2
G89	G89(1)	(G75 & G91)	0	2
G90	G90(1)	(G8 & G13)	0	2
G91	G91(1)	(G24)	0	1
G92	G92(1)	(!G66 & !G79) | (!G23 & !G66) | (G23 & G66 & G79)	0	3
G93	G93(1)	(G98) | (G78)	0	2
G94	G94(1)	(G35 & !G82)	0	2
G95	G95(1)	(G8 & G13)	0	2
G96	G96(1)	(!G45 & !G74 & G86) | (!G45 & G74 & !G86)	0	3
G97	G97(1)	(!G76 & !G89 & G98) | (!G76 & G89 & !G98)	0	3
G98	G98(1)	(G8 & G13)	0	2
G99	G99(1)	(!G66 & !G70 & !G100) | (G66 & G70 & !G100)	0	3
G100	G100(1)	(!G68 & !G76 & !G80) | (!G68 & G76 & G80)	0	3
