Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G77 & !G96) | (!G77 & !G82) | (G77 & G82 & G96)	0	3
G2	G2(1)	(G52 & !G55 & G69) | (G52 & G55 & !G69)	0	3
G3	G3(1)	(!G57 & G96) | (G57 & G68 & !G96)	0	3
G4	G4(1)	(!G74 & !G86) | (G74 & G86 & !G92)	0	3
G5	G5(1)	(!G82 & G100)	0	2
G6	G6(1)	(!G78 & !G98)	0	2
G7	G7(1)	(!G70 & !G71 & !G76) | (!G70 & !G71 & G87) | (!G70 & !G76 & G87) | (G70 & G71 & G76 & !G87)	0	4
G8	G8(1)	(!G37 & G87)	0	2
G9	G9(1)	(!G58 & !G98) | (G58 & !G72 & G98) | (G72 & !G98)	0	3
G10	G10(1)	(!G57 & !G86) | (!G57 & G77) | (G77 & !G86)	0	3
G11	G11(1)	(G77 & G95) | (G69 & G77)	0	3
G12	G12(1)	(!G97) | (G77)	0	2
G13	G13(1)	(!G39)	0	1
G14	G14(1)	(G4 & !G94)	0	2
G15	G15(1)	(!G50 & !G92) | (!G50 & !G54) | (G54 & !G92)	0	3
G16	G16(1)	(!G72 & G76 & G92) | (G72 & !G76)	0	3
G17	G17(1)	(!G3 & !G49 & G88) | (!G3 & G49 & !G88) | (G3 & !G49 & !G88)	0	3
G18	G18(1)	(!G78 & G100)	0	2
G19	G19(1)	(!G32)	0	1
G20	G20(1)	(G28 & G43)	0	2
G21	G21(1)	(!G71 & G76) | (!G46 & G71 & !G76) | (G46 & !G71)	0	3
G22	G22(1)	(!G60 & !G76 & !G87) | (!G60 & !G75 & !G76) | (!G60 & G75 & G76 & G87) | (G60 & !G75 & G76)	0	4
G23	G23(1)	(!G50 & !G72) | (G50 & !G54 & G72) | (G54 & !G72)	0	3
G24	G24(1)	(!G58 & !G98) | (G58 & !G72 & G98) | (G72 & !G98)	0	3
G25	G25(1)	(!G98)	0	1
G26	G26(1)	(G54)	0	1
G27	G27(1)	(G25)	0	1
G28	G28(1)	(!G37) | (!G33)	0	2
G29	G29(1)	(!G78 & G91)	0	2
G30	G30(1)	(!G62)	0	1
G31	G31(1)	(!G73 & G88) | (!G44 & G73 & !G88)	0	3
G32	G32(1)	(G13)	0	1
G33	G33(1)	(!G68 & !G72) | (!G68 & G74) | (G68 & G72 & !G74)	0	3
G34	G34(1)	(!G76 & G87 & !G88) | (G76 & !G87 & !G88) | (G76 & G88 & G96)	0	4
G35	G35(1)	(G59 & G73)	0	2
G36	G36(1)	(!G98 & !G100)	0	2
G37	G37(1)	(!G8 & G33)	0	2
G38	G38(1)	(!G58 & G98) | (G58 & !G72 & !G98) | (G72 & G98)	0	3
G39	G39(1)	(G100) | (G91)	0	2
G40	G40(1)	(!G96) | (!G91)	0	2
G41	G41(1)	(!G58 & !G98) | (G58 & !G72 & G98) | (G72 & !G98)	0	3
G42	G42(1)	(G88 & !G92 & G96) | (G88 & G92 & !G96)	0	3
G43	G43(1)	(!G88 & !G96) | (!G76 & !G88) | (!G71 & !G96) | (G71 & G76 & G88 & G96)	0	4
G44	G44(1)	(!G58 & G100) | (G58 & !G72 & !G100) | (G72 & G100)	0	3
G45	G45(1)	(!G63 & !G70 & !G76 & !G87) | (!G70 & G76 & G87) | (!G63 & G70 & !G76 & G87) | (!G63 & G70 & G76 & !G87) | (G63 & !G70 & G87)	0	4
G46	G46(1)	(G39 & !G78)	0	2
G47	G47(1)	(!G81 & !G98 & !G99) | (!G81 & !G88 & G98 & G99) | (!G81 & G88 & !G99) | (G81 & !G88 & !G98 & G99) | (G81 & !G88 & G98 & !G99) | (G88 & !G98 & !G99)	0	4
G48	G48(1)	(G64 & G81)	0	2
G49	G49(1)	(G65 & !G86)	0	2
G50	G50(1)	(!G68 & !G98) | (!G58 & G68 & G98) | (G58 & !G68)	0	3
G51	G51(1)	(!G44 & !G69 & !G88) | (!G44 & G69 & G88) | (G44 & G69 & !G88)	0	3
G52	G52(1)	(G67 & !G84) | (!G58 & G67)	0	3
G53	G53(1)	(G75 & !G89)	0	2
G54	G54(1)	(!G32)	0	1
G55	G55(1)	(G75 & !G89 & G92) | (G75 & G89 & !G92)	0	3
G56	G56(1)	(!G10 & !G93) | (G10 & G93)	0	2
G57	G57(1)	(!G45 & !G81) | (!G45 & !G68) | (G68 & !G81) | (G45 & G68)	0	3
G58	G58(1)	(!G52 & !G87 & !G99) | (G87 & G99)	0	3
G59	G59(1)	(!G44 & !G81 & G85) | (!G44 & G81 & !G85)	0	3
G60	G60(1)	(!G12 & !G34)	0	2
G61	G61(1)	(!G66 & !G95)	0	2
G62	G62(1)	(G6)	0	1
G63	G63(1)	(!G22 & !G56 & G87) | (G56 & !G87) | (G22 & !G87)	0	3
G64	G64(1)	(!G67 & !G79)	0	2
G65	G65(1)	(!G65 & !G72 & G86) | (G65 & !G86) | (G65 & G72)	0	3
G66	G66(1)	(!G73) | (!G60)	0	2
G67	G67(1)	(G77) | (G54)	0	2
G68	G68(1)	(G46)	0	1
G69	G69(1)	(G33 & !G95)	0	2
G70	G70(1)	(!G75 & !G92 & !G94 & G99) | (!G75 & !G92 & G94 & !G99) | (G75 & !G94 & !G99) | (G75 & G92 & !G99)	0	4
G71	G71(1)	(!G53 & !G66 & !G69) | (!G53 & G66 & G69) | (G53 & G66 & !G69)	0	3
