Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G89) | (G94)	0	2
G2	G2(1)	(G20 & !G22)	0	2
G3	G3(1)	(!G46 & G47 & !G68) | (G46 & !G47)	0	3
G4	G4(1)	(!G73 & !G87) | (!G70 & !G73) | (G70 & G73 & G87)	0	3
G5	G5(1)	(!G84 & !G88) | (G89) | (G84 & G88)	0	3
G6	G6(1)	(G20 & !G85)	0	2
G7	G7(1)	(G94 & G95)	0	2
G8	G8(1)	(G20 & !G22)	0	2
G9	G9(1)	(!G20)	0	1
G10	G10(1)	(G69)	0	1
G11	G11(1)	(G54)	0	1
G12	G12(1)	(!G32)	0	1
G13	G13(1)	(!G54)	0	1
G14	G14(1)	(!G91 & !G99) | (!G81 & !G91) | (G81 & !G99) | (G81 & G91)	0	3
G15	G15(1)	(!G42 & !G78) | (G42 & !G76 & G78) | (G76 & !G78)	0	3
G16	G16(1)	(!G68) | (G78)	0	2
G17	G17(1)	(!G99) | (G77 & !G78)	0	3
G18	G18(1)	(G91 & G99)	0	2
G19	G19(1)	(!G32)	0	1
G20	G20(1)	(G20 & !G22)	0	2
G21	G21(1)	(!G81 & !G89) | (!G89 & G100) | (G81 & G100)	0	3
G22	G22(1)	(!G76 & !G89 & G96) | (G76 & !G89 & !G96)	0	3
G23	G23(1)	(G95 & !G99)	0	2
G24	G24(1)	(G57 & !G63) | (G37 & G63)	0	3
G25	G25(1)	(!G6 & !G25 & !G97) | (!G6 & G25 & G97) | (G6 & !G25 & G97)	0	3
G26	G26(1)	(G68)	0	1
G27	G27(1)	(!G73 & G74 & !G80) | (G73 & !G74 & !G80) | (G73 & G74 & G80)	0	3
G28	G28(1)	(!G81 & !G86 & G90) | (G81 & !G90) | (G81 & G86)	0	3
G29	G29(1)	(!G20) | (G22)	0	2
G30	G30(1)	(G75 & G81)	0	2
G31	G31(1)	(G5 & !G81)	0	2
G32	G32(1)	(!G78 & G86)	0	2
G33	G33(1)	(!G53)	0	1
G34	G34(1)	(!G68) | (G96)	0	2
G35	G35(1)	(G5 & !G81)	0	2
G36	G36(1)	(G68 & !G78)	0	2
G37	G37(1)	(!G68)	0	1
G38	G38(1)	(G78) | (G37)	0	2
G39	G39(1)	(!G59 & !G74 & G78) | (G74 & !G78) | (G59 & !G78)	0	3
G40	G40(1)	(!G99) | (!G91)	0	2
G41	G41(1)	(!G30 & !G52 & !G83) | (!G30 & G52 & G83) | (G30 & G52 & !G83)	0	3
G42	G42(1)	(!G83 & G92 & !G93 & G98) | (G83 & G92 & !G93 & !G98)	0	4
G43	G43(1)	(!G32)	0	1
G44	G44(1)	(!G92 & !G96 & G99) | (G77 & G96 & !G99) | (G77 & !G96 & G99) | (G77 & G92 & G99)	0	4
G45	G45(1)	(!G6 & !G98) | (G51 & !G98) | (G6 & G51)	0	3
G46	G46(1)	(!G72 & G91 & G92) | (G72 & !G92) | (G72 & !G91)	0	3
G47	G47(1)	(!G15 & G38) | (G15 & !G38 & G76)	0	3
G48	G48(1)	(G100) | (G96)	0	2
G49	G49(1)	(!G64 & !G70 & !G84) | (!G64 & G70 & G84)	0	3
G50	G50(1)	(!G42 & !G75) | (G42 & !G59 & G75) | (G59 & !G75)	0	3
G51	G51(1)	(!G50 & !G61 & G74) | (G61 & !G74) | (G50 & G61)	0	3
