Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G89 & !G93 & !G95 & !G97) | (!G89 & G93 & !G95 & G97) | (G89 & !G93 & !G95 & G97) | (G89 & !G93 & G95 & !G97) | (G89 & G93 & !G95 & !G97)	0	4
G2	G2(1)	(!G41 & !G71 & !G85) | (G41 & G71 & !G85)	0	3
G3	G3(1)	(!G35 & !G99) | (!G35 & !G84)	0	3
G4	G4(1)	(!G88 & !G89) | (G78 & !G88) | (G78 & !G89)	0	3
G5	G5(1)	(!G41 & !G81 & !G85) | (!G41 & G81 & G85) | (G41 & G81 & !G85)	0	3
G6	G6(1)	(!G74 & !G81) | (!G49 & !G74) | (G49 & !G81)	0	3
G7	G7(1)	(G65 & !G99) | (G58 & !G99) | (G58 & !G65)	0	3
G8	G8(1)	(!G84 & G87 & G95) | (G84 & !G87 & G95)	0	3
G9	G9(1)	(G12 & !G98)	0	2
G10	G10(1)	(!G87) | (G73)	0	2
G11	G11(1)	(!G16 & G99)	0	2
G12	G12(1)	(!G90) | (G30)	0	2
G13	G13(1)	(!G68)	0	1
G14	G14(1)	(!G99) | (G21)	0	2
G15	G15(1)	(!G90) | (G99)	0	2
G16	G16(1)	(!G77 & G79 & G96) | (G77 & !G79 & G96)	0	3
G17	G17(1)	(G88 & G99) | (G49 & !G88)	0	3
G18	G18(1)	(!G21 & G99)	0	2
G19	G19(1)	(!G99 & !G100) | (!G65 & G99 & G100) | (G65 & !G99) | (G65 & !G100)	0	3
G20	G20(1)	(!G48)	0	1
G21	G21(1)	(!G27 & !G74 & !G95) | (!G27 & G74 & G95) | (G27 & !G74 & G95)	0	3
G22	G22(1)	(!G82 & G84 & G97) | (G82 & G84 & !G97)	0	3
G23	G23(1)	(G65 & !G99) | (G58 & !G99) | (G58 & !G65)	0	3
G24	G24(1)	(!G36 & !G65 & !G89) | (!G36 & G65 & G89) | (G36 & !G65 & G89)	0	3
G25	G25(1)	(!G63) | (G3)	0	2
G26	G26(1)	(!G64 & G89)	0	2
