Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G90) | (G55)	0	2
G2	G2(1)	(!G81 & !G88 & G90)	0	3
G3	G3(1)	(!G76 & G89 & !G100) | (G76 & !G89 & !G100)	0	3
G4	G4(1)	(G5)	0	1
G5	G5(1)	(G84 & !G100)	0	2
G6	G6(1)	(!G74 & !G82 & G88) | (!G74 & G82 & !G88) | (G74 & !G82 & !G88)	0	3
G7	G7(1)	(G88 & !G100) | (G79 & !G100) | (G79 & G88)	0	3
G8	G8(1)	(G84 & !G87)	0	2
G9	G9(1)	(!G62 & !G67) | (G43 & !G67)	0	3
G10	G10(1)	(!G79 & !G88) | (!G88 & G100)	0	3
G11	G11(1)	(!G34 & G69) | (G65 & !G69)	0	3
G12	G12(1)	(G100) | (!G76 & G97) | (G76 & !G97)	0	3
G13	G13(1)	(!G90) | (G87)	0	2
G14	G14(1)	(G68 & !G70)	0	2
G15	G15(1)	(!G88 & !G96) | (!G88 & G99)	0	3
G16	G16(1)	(!G83) | (!G74)	0	2
G17	G17(1)	(!G67 & G90)	0	2
G18	G18(1)	(!G48 & !G79) | (!G33 & !G79) | (!G33 & G48)	0	3
G19	G19(1)	(!G87 & !G90 & !G91) | (G87 & !G90 & G91)	0	3
G20	G20(1)	(!G79 & !G100) | (!G88 & G100)	0	3
G21	G21(1)	(G83)	0	1
G22	G22(1)	(!G83 & !G91) | (!G24 & !G83) | (G24 & G83 & G91)	0	3
G23	G23(1)	(G88 & !G100) | (G79 & !G100) | (G79 & G88)	0	3
G24	G24(1)	(!G80 & !G86 & !G90 & G92) | (!G86 & G90 & !G92) | (!G80 & G86 & !G92) | (G80 & G86 & !G90 & G92)	0	4
G25	G25(1)	(G85 & G100)	0	2
G26	G26(1)	(!G64 & G100)	0	2
G27	G27(1)	(G78 & !G91) | (!G20 & G78) | (G20 & !G78 & G91)	0	3
G28	G28(1)	(!G84 & !G93) | (!G74 & G84 & G93) | (G74 & !G84)	0	3
G29	G29(1)	(!G59 & !G71)	0	2
G30	G30(1)	(!G91 & !G100) | (G88 & !G91) | (G88 & !G100)	0	3
G31	G31(1)	(!G84 & G86 & !G100) | (G84 & !G86 & !G100)	0	3
G32	G32(1)	(!G51 & G96) | (!G48 & G51 & !G96) | (G48 & !G51) | (G48 & G96)	0	3
G33	G33(1)	(!G34 & !G88) | (!G34 & !G48) | (G34 & G48 & G88)	0	3
G34	G34(1)	(!G78 & !G91 & G92) | (G78 & !G82 & !G92) | (G78 & !G82 & G91)	0	4
G35	G35(1)	(!G79 & !G88) | (!G88 & G100)	0	3
G36	G36(1)	(!G19) | (G97)	0	2
G37	G37(1)	(!G41)	0	1
G38	G38(1)	(!G34 & G88) | (G34 & G44 & !G88)	0	3
G39	G39(1)	(!G39 & !G91) | (!G83 & G91)	0	3
G40	G40(1)	(!G73 & !G76) | (G76 & G88)	0	3
G41	G41(1)	(!G100)	0	1
G42	G42(1)	(!G64 & !G83) | (!G44 & !G83) | (!G44 & G64)	0	3
G43	G43(1)	(!G65 & !G79) | (!G65 & G100)	0	3
G44	G44(1)	(!G24 & !G74 & !G80) | (!G24 & G74 & G80) | (G24 & G74 & !G80)	0	3
G45	G45(1)	(!G88 & G100)	0	2
G46	G46(1)	(!G86 & G91) | (!G80 & G91) | (G80 & !G86)	0	3
G47	G47(1)	(!G67 & !G89) | (!G89 & G92) | (G67 & G89)	0	3
G48	G48(1)	(!G4 & G49) | (G4 & !G49)	0	2
G49	G49(1)	(!G20 & !G49) | (!G20 & G69) | (!G49 & G69) | (G20 & G49 & !G69)	0	3
G50	G50(1)	(!G79 & !G88) | (!G88 & G100)	0	3
G51	G51(1)	(!G29 & !G64 & !G99) | (G29 & G99)	0	3
G52	G52(1)	(!G79 & !G88) | (!G88 & G100)	0	3
G53	G53(1)	(G89 & G100)	0	2
G54	G54(1)	(G88 & !G100) | (G79 & !G100) | (G79 & G88)	0	3
G55	G55(1)	(G87 & !G93)	0	2
G56	G56(1)	(!G88 & G90)	0	2
G57	G57(1)	(!G88 & G100)	0	2
G58	G58(1)	(G88 & !G100) | (G79 & !G100) | (G79 & G88)	0	3
G59	G59(1)	(!G100) | (!G89 & G91)	0	3
G60	G60(1)	(!G9)	0	1
G61	G61(1)	(!G19 & !G34)	0	2
G62	G62(1)	(!G34 & !G98) | (!G24 & G98) | (G24 & !G98)	0	3
G63	G63(1)	(!G62 & !G88) | (!G88 & G98)	0	3
G64	G64(1)	(!G25 & !G28 & G88) | (!G25 & G28 & !G88) | (G25 & !G28 & !G88) | (G25 & G28 & G88)	0	3
G65	G65(1)	(!G92 & !G95 & !G98) | (!G92 & G95 & G98) | (G92 & !G95 & G98)	0	3
G66	G66(1)	(!G39 & !G46 & !G72) | (G39 & G46)	0	3
G67	G67(1)	(!G89 & G91) | (G88)	0	3
G68	G68(1)	(G15 & !G40)	0	2
G69	G69(1)	(!G19 & !G53) | (G19 & G53)	0	2
G70	G70(1)	(!G37 & G95)	0	2
G71	G71(1)	(!G69 & G88 & G99) | (G69 & !G88 & G99) | (G69 & G88 & !G99)	0	3
G72	G72(1)	(!G74 & G90) | (G74 & G79)	0	3
G73	G73(1)	(!G69 & !G74) | (!G62 & !G74) | (!G62 & G69)	0	3
G74	G74(1)	(!G88 & G90 & G95) | (G88 & !G95) | (G88 & !G90)	0	3
G75	G75(1)	(G88 & !G100) | (G79 & !G100) | (G79 & G88)	0	3
G76	G76(1)	(!G74 & G98) | (G74 & !G87 & !G98) | (G87 & G98)	0	3
G77	G77(1)	(G69 & !G74)	0	2
G78	G78(1)	(!G36 & G66) | (G42 & !G66)	0	3
G79	G79(1)	(!G68 & !G84 & G92) | (!G68 & G84 & !G92) | (G68 & !G84 & !G92)	0	3
G80	G80(1)	(!G76 & !G79 & G80 & !G93) | (!G76 & G79 & !G80 & G93) | (G76 & G80 & G93) | (G76 & G79 & !G93)	0	4
G81	G81(1)	(!G42 & !G79 & G88) | (G42 & G79 & !G88)	0	3
G82	G82(1)	(!G79 & G82 & !G87) | (G79 & !G82 & !G87)	0	3
G83	G83(1)	(G70 & !G98)	0	2
G84	G84(1)	(!G55 & G90)	0	2
G85	G85(1)	(!G85 & !G88 & G96) | (G85 & !G88 & !G96)	0	3
G86	G86(1)	(!G26 & !G68 & !G80) | (!G26 & G68 & G80) | (G26 & G68 & !G80)	0	3
G87	G87(1)	(G9)	0	1
G88	G88(1)	(G74 & G88)	0	2
G89	G89(1)	(!G81 & G90) | (!G72 & G90) | (G72 & !G81)	0	3
G90	G90(1)	(!G37)	0	1
G91	G91(1)	(!G24 & !G42) | (!G19 & G24 & G42) | (G19 & !G24) | (G19 & !G42)	0	3
G92	G92(1)	(!G11 & !G65 & G72) | (G11 & !G65 & !G72)	0	3
G93	G93(1)	(!G74 & !G77) | (!G44 & !G77) | (G44 & !G74)	0	3
G94	G94(1)	(!G79 & !G88) | (!G88 & G100)	0	3
G95	G95(1)	(!G98 & !G100) | (!G49)	0	3
G96	G96(1)	(G44 & !G91)	0	2
G97	G97(1)	(!G60 & !G74 & !G81) | (G60 & G74 & G81)	0	3
G98	G98(1)	(!G79 & !G90 & !G97 & G98) | (!G79 & !G90 & G97 & !G98) | (!G79 & G90 & !G97 & !G98) | (G79 & !G90 & !G97 & !G98) | (G79 & !G90 & G97 & G98) | (G79 & G90 & !G97 & G98)	0	4
G99	G99(1)	(!G40 & !G88)	0	2
G100	G100(1)	(!G79 & !G88) | (!G88 & G100)	0	3
