Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G30 & !G71 & !G85) | (G30 & !G71 & G85) | (G30 & G71 & !G85)	0	3
G2	G2(1)	(!G69 & G84 & !G96)	0	3
G3	G3(1)	(G86 & !G99)	0	2
G4	G4(1)	(!G78 & !G84 & !G89) | (G78 & G84)	0	3
G5	G5(1)	(!G64 & G95 & G96) | (G64 & !G96) | (G64 & !G95)	0	3
G6	G6(1)	(!G48)	0	1
G7	G7(1)	(!G99) | (!G67)	0	2
G8	G8(1)	(!G84 & !G94 & G95 & G98) | (!G84 & G94 & !G95 & G98) | (!G84 & G94 & G95 & !G98) | (G84 & !G94 & !G98)	0	4
G9	G9(1)	(!G51 & G98 & G100) | (G51 & G98 & !G100)	0	3
G10	G10(1)	(G12 & G67)	0	2
G11	G11(1)	(!G28 & G60 & !G84) | (G28 & !G60 & !G84) | (G28 & G60 & G84)	0	3
G12	G12(1)	(!G71 & !G78 & !G85) | (G78 & G85) | (G71 & G85) | (G71 & G78)	0	3
G13	G13(1)	(!G69 & G85) | (G76 & !G85) | (G69 & !G85)	0	3
G14	G14(1)	(!G67) | (!G12)	0	2
G15	G15(1)	(G67 & G99)	0	2
G16	G16(1)	(!G60 & !G74 & !G88) | (G60 & !G74 & G88) | (G60 & G74 & !G88)	0	3
G17	G17(1)	(!G20 & !G47 & G59) | (G20 & G47)	0	3
G18	G18(1)	(G12 & G67)	0	2
G19	G19(1)	(!G90 & !G97 & G98) | (!G90 & !G94 & G97) | (!G94 & G97 & G98) | (G90 & G94 & !G97)	0	4
G20	G20(1)	(!G76 & !G82 & G96) | (!G82 & G84) | (!G76 & G82 & !G84 & !G96) | (G76 & !G82 & !G96)	0	4
G21	G21(1)	(G48 & !G65)	0	2
G22	G22(1)	(!G78 & !G88 & !G91) | (!G78 & G88 & G91) | (G78 & !G88 & G91)	0	3
G23	G23(1)	(!G67) | (!G12)	0	2
G24	G24(1)	(G84 & !G91) | (G78 & !G91)	0	3
G25	G25(1)	(!G48)	0	1
G26	G26(1)	(G12)	0	1
G27	G27(1)	(!G95)	0	1
G28	G28(1)	(!G94 & G99) | (G78)	0	3
G29	G29(1)	(!G76 & !G78 & !G95) | (G76 & !G78 & G95) | (G76 & G78 & !G95)	0	3
G30	G30(1)	(!G86 & !G90) | (!G63 & G86 & G90) | (G63 & !G86) | (G63 & !G90)	0	3
G31	G31(1)	(!G74 & G99) | (G74 & G98)	0	3
G32	G32(1)	(!G76 & G82 & G100) | (G76 & !G82 & G100) | (G76 & G82 & !G100)	0	3
G33	G33(1)	(!G31 & !G55)	0	2
G34	G34(1)	(!G85 & !G90 & G95) | (!G85 & !G90 & G94) | (G85 & G90 & !G94 & !G95)	0	4
G35	G35(1)	(!G57 & !G89) | (!G57 & !G78) | (G57 & G78 & G89)	0	3
G36	G36(1)	(!G63 & !G94 & !G98) | (G94 & G98) | (G63 & G98) | (G63 & G94)	0	3
G37	G37(1)	(!G4 & !G44 & G86) | (!G4 & G44 & !G86) | (G4 & !G44 & !G86) | (G4 & G44 & G86)	0	3
G38	G38(1)	(G12 & G67)	0	2
G39	G39(1)	(G26)	0	1
G40	G40(1)	(!G74) | (G91)	0	2
G41	G41(1)	(G41 & G63) | (G34 & !G41 & !G63)	0	3
G42	G42(1)	(G67 & G99)	0	2
G43	G43(1)	(!G94) | (!G84 & !G97)	0	3
G44	G44(1)	(G42)	0	1
G45	G45(1)	(G91 & !G98) | (G82 & !G91 & G98)	0	3
G46	G46(1)	(G74 & G76)	0	2
G47	G47(1)	(!G84 & !G94 & G97) | (!G84 & G88 & !G94) | (G84 & !G88 & !G94 & !G97) | (G88 & !G94 & G97) | (G84 & G88 & G94)	0	4
G48	G48(1)	(!G99)	0	1
G49	G49(1)	(!G52 & !G54) | (!G52 & G95) | (!G54 & G95) | (G52 & G54 & !G95)	0	3
G50	G50(1)	(!G29 & G80 & !G98) | (G29 & !G80)	0	3
G51	G51(1)	(!G82 & !G85 & !G98) | (!G81 & !G82 & G85 & G98) | (G82 & !G85 & G98) | (!G81 & G82 & G85 & !G98) | (G81 & !G82 & !G98) | (G81 & !G85 & !G98)	0	4
G52	G52(1)	(G49 & G99)	0	2
G53	G53(1)	(!G43)	0	1
G54	G54(1)	(!G71 & !G85) | (!G55 & G85)	0	3
G55	G55(1)	(G86 & !G88) | (G86 & G95)	0	3
G56	G56(1)	(G51 & !G88 & G97) | (G51 & G88 & !G97)	0	3
G57	G57(1)	(G83 & !G90)	0	2
G58	G58(1)	(!G67) | (!G12)	0	2
G59	G59(1)	(!G87 & !G91 & !G94) | (!G83 & !G87 & !G91) | (!G83 & G87 & G91) | (G83 & !G91 & !G94)	0	4
G60	G60(1)	(!G99) | (G29)	0	2
G61	G61(1)	(G12 & G67)	0	2
G62	G62(1)	(!G70 & !G82 & !G86) | (G70 & G82 & !G86)	0	3
G63	G63(1)	(!G70 & !G74) | (G49 & !G74)	0	3
G64	G64(1)	(G92 & !G98) | (!G80 & G92) | (G80 & !G92 & G98)	0	3
G65	G65(1)	(G78 & !G85 & !G93) | (G78 & G85 & G93)	0	3
G66	G66(1)	(!G55 & !G100) | (G84 & G100)	0	3
G67	G67(1)	(!G11) | (G70)	0	2
G68	G68(1)	(!G20 & !G22 & !G80) | (!G20 & G22 & G80) | (G20 & !G22 & G80) | (G20 & G22 & !G80)	0	3
G69	G69(1)	(!G56 & !G88 & G98) | (G88 & !G98) | (G56 & G88)	0	3
G70	G70(1)	(!G70 & G88) | (!G70 & G76) | (G70 & !G76 & !G88) | (G76 & G88)	0	3
