Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(G72 & !G97) | (G72 & G77)	0	3
G2	G2(1)	(G23 & !G46)	0	2
G3	G3(1)	(!G85 & !G100)	0	2
G4	G4(1)	(G21)	0	1
G5	G5(1)	(!G37 & !G48)	0	2
G6	G6(1)	(G83 & !G97)	0	2
G7	G7(1)	(!G38 & !G72 & G84) | (!G38 & G72 & !G84) | (G38 & G72 & G84)	0	3
G8	G8(1)	(G23 & !G46)	0	2
G9	G9(1)	(!G88 & !G89 & G96) | (G88 & !G96)	0	3
G10	G10(1)	(!G90 & G100) | (!G78 & G90)	0	3
G11	G11(1)	(G80 & !G89 & G96) | (G75 & !G89 & G96) | (G75 & !G80 & G89)	0	4
G12	G12(1)	(!G90 & G100) | (!G78 & G90)	0	3
G13	G13(1)	(!G65 & G73) | (!G53 & G73) | (G53 & !G65)	0	3
G14	G14(1)	(!G24 & !G55) | (!G24 & G76) | (!G55 & G76) | (G24 & G55 & !G76)	0	3
G15	G15(1)	(!G79 & !G99) | (!G56 & !G99) | (G79 & G99) | (G56 & G99)	0	3
G16	G16(1)	(!G8 & !G24 & G45) | (G24 & !G45) | (G8 & !G45) | (G8 & G24)	0	3
G17	G17(1)	(!G81 & G83) | (!G45 & G81 & !G83) | (G45 & !G81)	0	3
G18	G18(1)	(!G90 & G100) | (!G78 & G90)	0	3
G19	G19(1)	(!G47 & !G75 & !G79) | (!G47 & G75 & G79) | (G47 & G75 & !G79)	0	3
G20	G20(1)	(!G61 & G72 & G89) | (G61 & !G89) | (G61 & !G72)	0	3
G21	G21(1)	(!G37)	0	1
G22	G22(1)	(!G85 & G93) | (G76)	0	3
G23	G23(1)	(G4 & !G46)	0	2
G24	G24(1)	(!G91 & G95 & !G97) | (!G88 & !G91 & G95) | (!G88 & G91 & !G95 & G97) | (!G88 & G95 & !G97) | (G88 & !G91 & !G97)	0	4
G25	G25(1)	(!G60 & !G83)	0	2
G26	G26(1)	(!G90 & G100) | (!G78 & G90)	0	3
G27	G27(1)	(!G17 & G100) | (G17 & G83)	0	3
G28	G28(1)	(!G90 & G100) | (!G78 & G90)	0	3
G29	G29(1)	(!G97 & G100) | (!G88 & G100)	0	3
G30	G30(1)	(!G79 & !G88 & !G91 & !G100) | (G79 & G91 & !G100) | (G79 & G88 & G100)	0	4
G31	G31(1)	(!G60 & !G80) | (!G60 & G96) | (G60 & G80 & !G96)	0	3
G32	G32(1)	(!G38) | (G54)	0	2
G33	G33(1)	(G60)	0	1
G34	G34(1)	(!G90 & G100) | (!G78 & G90)	0	3
G35	G35(1)	(!G90 & G100) | (!G78 & G90)	0	3
G36	G36(1)	(G95) | (G87)	0	2
G37	G37(1)	(!G60)	0	1
G38	G38(1)	(!G77 & !G97) | (!G63 & !G97) | (G77 & G97) | (G63 & G97)	0	3
G39	G39(1)	(!G88 & !G89 & !G92 & !G99) | (!G88 & G89 & G99) | (G88 & !G89 & !G92 & G99) | (G88 & !G89 & G92 & !G99)	0	4
G40	G40(1)	(!G47 & !G61) | (G47 & G61 & !G83)	0	3
