Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G2	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G3	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0
G4	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1
G5	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G6	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0
G7	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G8	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G9	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1
G10	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G11	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1
G12	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1
G13	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1
G14	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G15	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
G16	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G17	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
G18	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0
G19	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G20	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G21	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1
G22	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
G23	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1
G24	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0
G25	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
G26	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0
G27	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0
G28	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
G29	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1
G30	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G31	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0
G32	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
G33	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1
G34	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1
G35	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G36	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
G37	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1
