Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(G90 & !G91) | (G82 & !G90 & G91)	0	3
G2	G2(1)	(!G75 & !G85 & !G97) | (!G85 & G95 & !G97) | (G75 & G85 & !G95)	0	4
G3	G3(1)	(G60 & !G69) | (G60 & G98)	0	3
G4	G4(1)	(!G73 & !G95) | (G69 & !G73) | (G69 & !G95)	0	3
G5	G5(1)	(!G83 & !G100) | (G90 & !G100) | (G83 & G90)	0	3
G6	G6(1)	(G89) | (G60 & !G92)	0	3
G7	G7(1)	(!G13 & G30)	0	2
G8	G8(1)	(G91 & !G99) | (!G88 & G91)	0	3
G9	G9(1)	(!G88 & !G99) | (G90 & G99) | (G88 & G99)	0	3
G10	G10(1)	(!G35)	0	1
G11	G11(1)	(!G59 & !G81) | (!G73 & G81) | (G73 & !G81)	0	3
G12	G12(1)	(!G80 & G91 & !G98) | (G80 & G98)	0	3
G13	G13(1)	(G95) | (!G65 & G68) | (G65 & !G68)	0	3
G14	G14(1)	(!G64 & G74) | (!G64 & G65) | (G65 & G74)	0	3
G15	G15(1)	(!G83 & !G100) | (G90 & !G100) | (G83 & G90)	0	3
G16	G16(1)	(!G83 & !G100) | (G90 & !G100) | (G83 & G90)	0	3
G17	G17(1)	(!G88 & !G99) | (!G88 & !G91)	0	3
G18	G18(1)	(!G60 & G65) | (G60 & !G65) | (G56 & !G65)	0	3
G19	G19(1)	(!G88 & !G90 & G99) | (G88 & !G90 & !G99)	0	3
G20	G20(1)	(!G61) | (!G85 & G97) | (G85 & !G97)	0	3
G21	G21(1)	(G90) | (G82)	0	2
G22	G22(1)	(!G90 & G100) | (!G83 & G100) | (G83 & !G90)	0	3
G23	G23(1)	(!G67 & !G70 & !G78) | (G70 & G78) | (G67 & G78)	0	3
G24	G24(1)	(!G94 & !G95 & !G96) | (!G92 & !G94 & !G96) | (G92 & !G95 & !G96) | (G92 & G94 & !G95)	0	4
G25	G25(1)	(!G65 & !G74 & !G78) | (G65 & !G74 & G78) | (G65 & G74 & !G78)	0	3
G26	G26(1)	(!G74 & !G76 & G93) | (G74 & !G76 & !G93)	0	3
G27	G27(1)	(!G49 & !G60)	0	2
G28	G28(1)	(!G28 & !G73) | (!G28 & G46) | (G46 & !G73)	0	3
G29	G29(1)	(!G65 & !G91 & !G92) | (!G65 & G91 & G92) | (G65 & !G91 & G92)	0	3
G30	G30(1)	(!G68 & !G72 & !G80) | (G68 & !G72 & G80) | (G68 & G72 & !G80)	0	3
G31	G31(1)	(!G31 & !G58 & G78) | (!G31 & G58 & !G78) | (G31 & !G58 & !G78)	0	3
G32	G32(1)	(G93 & !G95) | (G47 & !G95) | (G47 & G93)	0	3
G33	G33(1)	(!G66 & !G99)	0	2
G34	G34(1)	(!G65 & !G92) | (!G54 & G65 & G92) | (G54 & !G65) | (G54 & !G92)	0	3
G35	G35(1)	(G21)	0	1
G36	G36(1)	(!G90 & G100) | (!G83 & G100) | (G83 & !G90)	0	3
G37	G37(1)	(!G69 & !G92) | (G72 & !G92) | (G69 & G72)	0	3
G38	G38(1)	(!G79 & G91)	0	2
G39	G39(1)	(!G60 & !G100) | (!G60 & !G96) | (G60 & G96 & G100)	0	3
G40	G40(1)	(!G52 & !G78 & G83) | (!G52 & G78 & !G83)	0	3
G41	G41(1)	(!G90 & G100) | (!G83 & G100) | (G83 & !G90)	0	3
G42	G42(1)	(G90 & !G95) | (G90 & G99)	0	3
G43	G43(1)	(!G90)	0	1
G44	G44(1)	(!G81 & !G85 & G99) | (!G81 & G85 & !G99) | (G81 & G85 & G99)	0	3
G45	G45(1)	(!G57) | (!G8)	0	2
G46	G46(1)	(!G79 & !G90)	0	2
G47	G47(1)	(!G33 & G42)	0	2
G48	G48(1)	(!G66) | (G63)	0	2
G49	G49(1)	(!G47 & !G68 & G99) | (!G47 & G68 & !G99) | (G47 & G68 & G99)	0	3
G50	G50(1)	(G66 & !G94)	0	2
G51	G51(1)	(G35)	0	1
G52	G52(1)	(G37 & !G79 & G93) | (G37 & G79 & !G93)	0	3
G53	G53(1)	(!G73 & G90)	0	2
G54	G54(1)	(!G73 & G90)	0	2
G55	G55(1)	(!G63 & !G69) | (!G63 & G96) | (!G69 & G96) | (G63 & G69 & !G96)	0	3
G56	G56(1)	(!G88 & !G94 & !G98 & !G100) | (!G88 & G94 & !G98 & G100) | (G88 & !G94 & G100) | (G88 & G94 & !G98 & !G100)	0	4
G57	G57(1)	(!G65 & G97) | (G82)	0	3
G58	G58(1)	(G90)	0	1
G59	G59(1)	(!G66 & !G88) | (!G88 & G89) | (G66 & G88 & !G89)	0	3
G60	G60(1)	(!G83 & G100) | (!G68 & G83) | (G68 & !G83)	0	3
G61	G61(1)	(!G48 & G95) | (!G39 & G48) | (G39 & !G48)	0	3
G62	G62(1)	(!G76 & !G79 & G97) | (!G76 & !G79 & G82) | (!G76 & G79 & !G82 & !G97) | (G76 & G79 & G82 & !G97)	0	4
G63	G63(1)	(!G40 & G62 & !G82) | (G40 & G82)	0	3
G64	G64(1)	(!G73 & !G80 & G90) | (G73 & G80 & G90)	0	3
G65	G65(1)	(!G34 & G55 & G81) | (G34 & !G55 & G81) | (G34 & G55 & !G81)	0	3
G66	G66(1)	(!G90) | (G95)	0	2
G67	G67(1)	(!G42 & !G78 & !G79) | (!G42 & G78 & G79) | (G42 & !G78 & G79)	0	3
G68	G68(1)	(!G6 & !G94 & G97) | (!G6 & G94 & !G97) | (G6 & !G94 & !G97) | (G6 & G94 & G97)	0	3
G69	G69(1)	(!G78 & !G97) | (!G58 & !G97) | (G58 & !G78)	0	3
G70	G70(1)	(!G39 & G79) | (G39 & !G57 & !G79)	0	3
