Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(G99) | (G55)	0	2
G2	G2(1)	(!G59 & G82)	0	2
G3	G3(1)	(!G99)	0	1
G4	G4(1)	(G99)	0	1
G5	G5(1)	(G97 & G99) | (G91 & !G97)	0	3
G6	G6(1)	0	0	1
G7	G7(1)	(!G69) | (!G46)	0	2
G8	G8(1)	(!G59)	0	1
G9	G9(1)	(!G92 & !G97 & G100) | (!G92 & !G96 & G100) | (!G92 & G96 & !G97) | (G92 & !G96 & !G100)	0	4
G10	G10(1)	(!G27 & !G86)	0	2
G11	G11(1)	(!G73 & !G91) | (G73 & G91 & !G94)	0	3
G12	G12(1)	(!G17) | (G46)	0	2
G13	G13(1)	(!G39 & !G57)	0	2
G14	G14(1)	(!G27 & !G86)	0	2
G15	G15(1)	(G97 & G99) | (G91 & !G97)	0	3
G16	G16(1)	(!G83 & !G84) | (!G84 & G99) | (G83 & G99)	0	3
G17	G17(1)	(G98) | (G17)	0	2
G18	G18(1)	(!G88 & !G91 & G92 & G95) | (!G88 & G91 & !G92) | (G88 & !G91 & !G92 & G95) | (G88 & G91 & G92 & G95)	0	4
G19	G19(1)	(G97 & !G99) | (G94 & !G99) | (G94 & !G97)	0	3
G20	G20(1)	(!G59 & !G79) | (!G79 & G88)	0	3
G21	G21(1)	(G97 & G99) | (G91 & !G97)	0	3
G22	G22(1)	(!G88 & !G95 & G99) | (G88 & G95 & G99)	0	3
G23	G23(1)	(G97 & G99) | (G91 & !G97)	0	3
G24	G24(1)	(!G69) | (!G46)	0	2
G25	G25(1)	(!G34 & !G44 & !G54) | (!G34 & G44 & G54)	0	3
G26	G26(1)	(!G62 & G65 & G79) | (G62 & G65 & !G79)	0	3
G27	G27(1)	(!G46)	0	1
G28	G28(1)	(!G94 & !G98 & G99) | (!G84 & G98 & !G99) | (!G84 & !G98 & G99) | (G84 & !G94 & !G98)	0	4
G29	G29(1)	(!G91 & !G93 & !G99)	0	3
G30	G30(1)	(G97 & G99) | (G91 & !G97)	0	3
G31	G31(1)	(!G70 & G90) | (G84 & G90)	0	3
G32	G32(1)	(G99)	0	1
G33	G33(1)	(!G83 & !G84) | (!G84 & G99) | (G83 & G99)	0	3
G34	G34(1)	(!G73 & G95 & G99) | (G73 & !G95)	0	3
G35	G35(1)	(G99)	0	1
G36	G36(1)	(!G91 & !G99) | (!G91 & !G97) | (G97 & !G99)	0	3
G37	G37(1)	(!G80 & !G86 & G100) | (G86 & !G100) | (G80 & G86)	0	3
G38	G38(1)	(!G82 & !G96 & G99) | (G96 & !G99) | (G82 & !G99) | (G82 & G96)	0	3
G39	G39(1)	(!G12 & !G84) | (!G12 & G91) | (!G84 & G91)	0	3
G40	G40(1)	(!G51 & !G84 & !G91) | (G51 & !G84 & G91) | (G51 & G84 & !G91)	0	3
G41	G41(1)	(G72 & G95)	0	2
G42	G42(1)	(G17 & G99)	0	2
G43	G43(1)	(!G57 & !G60 & !G70) | (!G57 & G60 & G70) | (G57 & !G60 & G70)	0	3
G44	G44(1)	(G34 & !G80)	0	2
G45	G45(1)	(!G75 & G93 & !G99) | (G75 & !G93 & G99)	0	3
G46	G46(1)	(!G99)	0	1
G47	G47(1)	(G54 & !G94) | (G54 & !G85)	0	3
G48	G48(1)	(G97 & G99) | (G91 & !G97)	0	3
G49	G49(1)	(!G65 & !G68 & G72) | (!G65 & G68 & !G72) | (G65 & !G68 & !G72)	0	3
G50	G50(1)	(!G91 & !G99) | (G97 & !G99)	0	3
G51	G51(1)	(!G63 & !G99) | (!G63 & !G84) | (G84 & !G99)	0	3
G52	G52(1)	(G97 & G99) | (G91 & !G97)	0	3
G53	G53(1)	(G97 & G99) | (G82 & G99)	0	3
G54	G54(1)	(!G91 & !G92 & !G96 & !G100) | (!G91 & !G92 & G96 & G100) | (G91 & !G96 & G100) | (G91 & !G92 & G96 & !G100) | (G91 & G92 & !G96)	0	4
G55	G55(1)	(!G76 & !G95) | (G95 & G99)	0	3
G56	G56(1)	(!G55 & !G99)	0	2
G57	G57(1)	(!G6 & G39) | (G6 & !G39)	0	2
G58	G58(1)	(G99) | (G91 & !G97)	0	3
G59	G59(1)	(!G56) | (G55)	0	2
G60	G60(1)	(!G80 & !G88) | (!G80 & !G82 & !G93) | (!G80 & G82 & G93) | (G80 & G82 & G88 & !G93)	0	4
G61	G61(1)	(!G75 & G100) | (G82 & !G100)	0	3
G62	G62(1)	(!G11 & !G97) | (!G11 & G76) | (G11 & !G76 & G97) | (G76 & !G97)	0	3
