Gene	Pattern	Frequency
G83	000000000001000010110	1
G26	000000000001110000000	1
G76	000000010001110000000	1
G71	000000010100100011000	1
G80	000000011100101000000	1
G74	000000111111100000000	1
G35	000001000011100000111	1
G22	000001100000000000100	1
G61	000001101111111000010	1
G52	000001111111110000000	1
G87	000001111111111100000	1
G16	000010010010100000000	1
G93	000010111101100010011	1
G48	000011111111000000000	1
G5	000101101111100000000	1
G86	000110000010000000101	1
G91	000110001000010000111	1
G8	000111011111000000000	1
G37	000111111100000000000	1
G46	000111111111000000000	1
G90	000111111111100000000	1
G36	000111111111101100000	1
G31	001011111011100111011	1
G96	001101111111001010011	1
G9	001111011011000000100	1
G81	001111100110000000000	1
G95	001111111110000000100	1
G25	001111111111011110000	1
G13	001111111111100000000	1
G92	010010011100100000010	1
G30	010101101111000000000	1
G97	011100000100010011000	1
G69	011100000101010111011	1
G54	011110001000000100000	1
G49	011110011010110111001	1
G12	011110110111101111111	1
G84	011111000000000111000	1
G3	011111011110001100000	1
G65	011111100100001101111	1
G82	011111111110000010000	1
G14	011111111111000000000	1
G24	100000000001110001111	1
G1	100000000001111101111	1
G98	100000000001111110111	1
G2	100010010100100001000	1
G89	100110000111110101110	1
G70	100111100000000110010	1
G27	101000000011111111001	1
G58	101010011000001000110	1
G21	101100011110000000001	1
G4	101101111110000111000	1
G100	101111100101111001110	1
G33	110000000000000111111	1
G11	110000000000101111111	1
G79	110000100000010001111	1
G17	110001001101011011111	1
G85	110010000100111101011	1
G77	110100000101100001111	1
G50	110101111110111001111	1
G62	111000000000000101111	1
G6	111000101100011111111	1
G41	111001000010000111111	1
G32	111011111011101111011	1
G88	111100000000000011111	1
G59	111100000000001111111	1
G15	111100000000111111111	1
G63	111100000001001111111	1
G67	111101000000000011111	1
G75	111110000000001101111	1
G29	111110011010010000010	1
G64	111110100100011101111	1
G10	111111000000011111111	1
G78	111111100100001111111	1
G19	111111111111111010000	1
G56	000011111111110000000	2
G57	000011111111110000000	2
G18	100000000000111111111	2
G68	100000000000111111111	2
G43	110000000000011111111	2
G44	110000000000011111111	2
G20	111110000000011111111	2
G51	111110000000011111111	2
G28	000000111111110000000	3
G53	000000111111110000000	3
G55	000000111111110000000	3
G40	111000000000111111111	4
G42	111000000000111111111	4
G47	111000000000111111111	4
G73	111000000000111111111	4
G7	011111111110000000000	5
G23	011111111110000000000	5
G39	011111111110000000000	5
G60	011111111110000000000	5
G72	011111111110000000000	5
G34	100000000001111111111	6
G38	100000000001111111111	6
G45	100000000001111111111	6
G66	100000000001111111111	6
G94	100000000001111111111	6
G99	100000000001111111111	6
