Gene	Pattern	Frequency
G94	000000000000100010000	1
G9	000000000100101111000	1
G6	000000000110110000000	1
G99	000000110011100000100	1
G23	000000111111110000000	1
G80	000001000010110101011	1
G51	000001010001011100001	1
G3	000001111110000000000	1
G4	000001111111110000000	1
G43	000010001000010110000	1
G11	000011000100101000111	1
G77	000011001101111101100	1
G45	000011111100100100000	1
G54	000011111111000000010	1
G21	000011111111100000000	1
G64	000110010000001101010	1
G71	000110111101000010100	1
G89	000111101110100000101	1
G33	000111111111000000000	1
G93	001000010011001000100	1
G17	001010011000110010000	1
G38	001011110100001101111	1
G14	001101111100010011100	1
G67	001101111111010010000	1
G48	001111000000001001000	1
G53	001111000001001111100	1
G84	001111111111110000000	1
G58	010000110100100000000	1
G63	010101100101101100010	1
G81	010111001110000000000	1
G70	011001011011011101011	1
G85	011100000011000011000	1
G30	011101001011000011100	1
G44	011101010110000010100	1
G52	011111001001111110110	1
G75	011111001011000001100	1
G82	011111111110000000000	1
G41	011111111110100000000	1
G95	011111111111000000000	1
G36	011111111111100000001	1
G1	100000000000001111111	1
G50	100000000001111111110	1
G90	100000000011011100111	1
G88	100000011000000111010	1
G96	100000110001111001110	1
G79	100010011011111111101	1
G42	100011001111000000010	1
G55	100100000001111111110	1
G72	100100110000011111111	1
G65	100110000001001000111	1
G92	100111101111011011100	1
G91	100111110011111101110	1
G78	101010101000000001001	1
G24	101101000110101101000	1
G19	101111000100000000111	1
G76	101111101000001010000	1
G15	101111111111110100111	1
G68	110000000000001111111	1
G46	110000000000011111011	1
G73	110000000001011011101	1
G27	110000001100110110111	1
G7	110000011101110001000	1
G49	110011111001011001011	1
G57	110100000000111010110	1
G56	110100100000110110111	1
G16	110111010011111100100	1
G22	110111111100000101010	1
G37	111000000000111111111	1
G31	111000100001111101111	1
G87	111010100000000000011	1
G32	111011111111111001001	1
G39	111100011001010001110	1
G13	111100100000001011100	1
G47	111100100111111100000	1
G20	111101100111110011111	1
G97	111101110010011000000	1
G40	111110011000000010010	1
G61	111111101111100111010	1
G5	000000011111100000000	2
G83	000000011111100000000	2
G2	000000011111110000000	2
G8	000000011111110000000	2
G59	001111111110000000000	2
G60	001111111110000000000	2
G29	100000000000111111111	2
G66	100000000000111111111	2
G25	111000000000001111111	2
G69	111000000000001111111	2
G10	100000000001111111111	12
G12	100000000001111111111	12
G18	100000000001111111111	12
G26	100000000001111111111	12
G28	100000000001111111111	12
G34	100000000001111111111	12
G35	100000000001111111111	12
G62	100000000001111111111	12
G74	100000000001111111111	12
G86	100000000001111111111	12
G98	100000000001111111111	12
G100	100000000001111111111	12
