Gene	Pattern	Frequency
G77	000000000000000000010	1
G36	000000000000000000100	1
G85	000000000000000010000	1
G46	000000000000000010001	1
G78	000000000000010000000	1
G48	000000000000100101000	1
G60	000000010100000000000	1
G89	000000100011000001111	1
G93	000001000000000000000	1
G92	000001000000010100100	1
G56	000001000000100010000	1
G8	000001111111100000000	1
G42	000010000000000000010	1
G51	000011100001000000000	1
G74	000011101111100010000	1
G82	000111000000000000000	1
G4	000111111111110000000	1
G84	001111111111100000000	1
G9	001111111111110000000	1
G72	011111111110000000000	1
G86	101111110001100010001	1
G87	101111111111111111111	1
G1	110000000000011111111	1
G28	110000000001111111111	1
G19	110110111111100000000	1
G10	111011111111101111111	1
G29	111100000001111111111	1
G97	111101111111111111111	1
G45	111110111111111101111	1
G49	111110111111111111111	1
G69	111111000000011111111	1
G64	111111000000111111111	1
G17	111111110111111111111	1
G80	111111111001111111111	1
G32	111111111011111111111	1
G16	111111111100111011111	1
G43	111111111101101111110	1
G81	111111111101111111111	1
G3	111111111111000111111	1
G57	111111111111100011111	1
G13	111111111111111011111	1
G52	111111111111111110111	1
G20	111111111111111111011	1
G18	000000000000000001000	2
G25	000000000000000001000	2
G31	000000000000000100000	2
G68	000000000000000100000	2
G50	000000000000001000000	2
G76	000000000000001000000	2
G53	000000000010000000000	2
G94	000000000010000000000	2
G41	000000100000000000000	2
G59	000000100000000000000	2
G26	100000000000000000000	2
G98	100000000000000000000	2
G67	110111111111111111111	2
G90	110111111111111111111	2
G39	111111111111011111111	2
G71	111111111111011111111	2
G66	111111111111111101111	2
G79	111111111111111101111	2
G2	111111111111111111101	2
G47	111111111111111111101	2
G62	111111111111111111110	2
G95	111111111111111111110	2
G22	000000000000000000001	3
G55	000000000000000000001	3
G99	000000000000000000001	3
G12	000000000001000000000	3
G21	000000000001000000000	3
G40	000000000001000000000	3
G5	000000000100000000000	3
G54	000000000100000000000	3
G75	000000000100000000000	3
G6	000000001000000000000	3
G23	000000001000000000000	3
G73	000000001000000000000	3
G7	000100000000000000000	3
G11	000100000000000000000	3
G100	000100000000000000000	3
G30	001000000000000000000	3
G37	001000000000000000000	3
G61	001000000000000000000	3
G14	011111111111100000000	3
G58	011111111111100000000	3
G83	011111111111100000000	3
G24	100000000001111111111	3
G34	100000000001111111111	3
G65	100000000001111111111	3
G38	111111011111111111111	3
G63	111111011111111111111	3
G96	111111011111111111111	3
G35	111111111111110111111	3
G44	111111111111110111111	3
G70	111111111111110111111	3
G15	000000010000000000000	5
G27	000000010000000000000	5
G33	000000010000000000000	5
G88	000000010000000000000	5
G91	000000010000000000000	5
