Gene	Pattern	Frequency
G1	000000000000000010000	1
G94	000000000000000100000	1
G26	000000000000001000000	1
G52	000000000000010010000	1
G55	000000000000011000000	1
G87	000000000000110000000	1
G18	000000000001000001000	1
G80	000000000001010000111	1
G12	000000000001011000010	1
G9	000000000001011010000	1
G56	000000000001110000000	1
G5	000000000110000000000	1
G93	000000001010000000000	1
G83	000000011111000000000	1
G4	000000011111100000000	1
G69	000000100000000000000	1
G70	000000100100000000000	1
G84	000000111111110000000	1
G46	000001000000000001000	1
G78	000010000000000000000	1
G3	000011111110000000000	1
G64	001000000000000000000	1
G41	001111111111000000000	1
G33	010000000000000000000	1
G65	010000000000000001000	1
G30	011011111010000000000	1
G60	011111111111000000111	1
G81	100000000000000000001	1
G99	100000001001111111111	1
G72	100001101010000000000	1
G73	101111101111111111111	1
G45	110000000001111111111	1
G68	110000100001111111111	1
G91	110111111110111111111	1
G37	111000000000111111111	1
G42	111011111111111111011	1
G19	111100000000000011110	1
G24	111111011111111111111	1
G13	111111100000111111111	1
G48	111111110111111111111	1
G100	111111111011111111111	1
G16	111111111100111111111	1
G63	111111111101111111111	1
G40	111111111110011111111	1
G92	111111111111011111101	1
G22	111111111111011111111	1
G95	111111111111111000111	1
G31	111111111111111011111	1
G89	111111111111111100111	1
G11	000000000000000000010	2
G14	000000000000000000010	2
G25	000000000000000000100	2
G77	000000000000000000100	2
G15	000000000001000000000	2
G17	000000000001000000000	2
G76	000000000100000000000	2
G90	000000000100000000000	2
G28	000000001000000000000	2
G58	000000001000000000000	2
G38	000000010000000000000	2
G96	000000010000000000000	2
G7	111111111111110111111	2
G86	111111111111110111111	2
G27	111111111111111111101	2
G62	111111111111111111101	2
G29	000000000000000000001	3
G43	000000000000000000001	3
G82	000000000000000000001	3
G20	000000000000000001000	3
G39	000000000000000001000	3
G85	000000000000000001000	3
G53	000000000000010000000	3
G57	000000000000010000000	3
G61	000000000000010000000	3
G8	000000000010000000000	3
G21	000000000010000000000	3
G34	000000000010000000000	3
G51	000001000000000000000	3
G97	000001000000000000000	3
G98	000001000000000000000	3
G59	000100000000000000000	3
G66	000100000000000000000	3
G67	000100000000000000000	3
G23	011111111110000000000	3
G54	011111111110000000000	3
G75	011111111110000000000	3
G47	100000000000000000000	3
G71	100000000000000000000	3
G88	100000000000000000000	3
G10	100000000001111111111	3
G35	100000000001111111111	3
G50	100000000001111111111	3
G2	000000000000100000000	4
G6	000000000000100000000	4
G32	000000000000100000000	4
G36	000000000000100000000	4
G44	111111111111111111011	4
G49	111111111111111111011	4
G74	111111111111111111011	4
G79	111111111111111111011	4
