Gene	Pattern	Frequency
G80	000000000000000000001	1
G100	000000000000000000100	1
G28	000000000000000001000	1
G1	000000000000000010000	1
G43	000000000000000110000	1
G29	000000000000000111000	1
G26	000000000000001000010	1
G32	000000000000010000000	1
G18	000000000000101000000	1
G74	000000000000111100000	1
G6	000000000010110000000	1
G2	000000000011100000000	1
G58	000000010000000000000	1
G95	000000100000000000000	1
G96	000000100001110000110	1
G3	000001111110000000000	1
G64	000010000000000000000	1
G11	000010000000000000010	1
G45	000011111100100100000	1
G63	000100000000101000000	1
G33	000111111111000000000	1
G21	000111111111110000000	1
G4	000111111111111000000	1
G38	001000000000000000000	1
G19	001000000000000000010	1
G59	001111111110000000000	1
G52	010000000000001000000	1
G46	010000000000011111011	1
G56	010100000000000000000	1
G75	011111001011100001100	1
G41	011111111111100000000	1
G89	011111111111111011111	1
G99	011111111111111111111	1
G98	100000000000000000001	1
G24	100001000100000000000	1
G55	100100000001111111110	1
G76	101111101000001010000	1
G73	110010000101111011101	1
G25	111000000000001111111	1
G31	111000110001111101111	1
G17	111010111111111111101	1
G13	111100110000001011100	1
G88	111101111111111111111	1
G40	111110011000000010010	1
G79	111110111111111111111	1
G70	111111011111011101111	1
G30	111111101111011111111	1
G97	111111110111111111111	1
G92	111111111111011111111	1
G85	111111111111101111111	1
G84	111111111111111101111	1
G78	111111111111111111101	1
G65	000000000000000000010	2
G69	000000000000000000010	2
G50	000000000000000100000	2
G68	000000000000000100000	2
G57	000000000000100010000	2
G94	000000000000100010000	2
G67	000000000001000000000	2
G93	000000000001000000000	2
G47	000000000100000000000	2
G81	000000000100000000000	2
G8	000000000101000000000	2
G23	000000000101000000000	2
G5	000000000110000000000	2
G83	000000000110000000000	2
G42	000000001000000000000	2
G82	000000001000000000000	2
G22	000001000000000000000	2
G53	000001000000000000000	2
G60	000100000000000000000	2
G71	000100000000000000000	2
G37	010000000000000000000	2
G44	010000000000000000000	2
G9	110111111111111111111	2
G54	110111111111111111111	2
G72	111111111101111111111	2
G87	111111111101111111111	2
G7	111111111111111011111	2
G49	111111111111111011111	2
G20	000000000000100000000	3
G61	000000000000100000000	3
G62	000000000000100000000	3
G10	100000000001111111111	3
G12	100000000001111111111	3
G35	100000000001111111111	3
G15	101111111111111111111	3
G51	101111111111111111111	3
G91	101111111111111111111	3
G14	111111111111110111111	3
G36	111111111111110111111	3
G39	111111111111110111111	3
G16	000000000000001000000	4
G34	000000000000001000000	4
G48	000000000000001000000	4
G77	000000000000001000000	4
G27	100000000000000000000	4
G66	100000000000000000000	4
G86	100000000000000000000	4
G90	100000000000000000000	4
