Gene	Pattern	Frequency
G55	000000000000011000000	1
G26	000000000000111101000	1
G53	000000000000111110000	1
G87	000000000000111111000	1
G9	000000000001111110001	1
G17	000000000111111000000	1
G2	000000001011111000000	1
G21	000000001111100000000	1
G56	000000001111111000000	1
G77	000000011000000000100	1
G6	000000011101100100000	1
G83	000000011111000000000	1
G4	000000011111100000000	1
G5	000000111111000000000	1
G8	000000111111100000000	1
G97	000001000100001011100	1
G69	000001111111100001000	1
G84	000001111111110000000	1
G36	000001111111111111110	1
G31	000010010010000000000	1
G70	000010111111100000000	1
G3	000011111110000000000	1
G90	000011111111110000000	1
G80	000101001011110000111	1
G86	000101011010100110111	1
G48	000110010000011111100	1
G91	000111001010110111011	1
G18	001001000001010001100	1
G89	001011111011111100000	1
G96	001100011000100000000	1
G49	001100111111011111000	1
G27	001110110100111001101	1
G41	001111111111000000000	1
G59	001111111111000001101	1
G65	010001100000000101100	1
G43	010010000001111101001	1
G34	010011010110000110000	1
G33	010101010100111100111	1
G38	010110011000000010000	1
G39	010111101010111011101	1
G82	011001010100100000001	1
G44	011011110001110101000	1
G95	011101111111010000011	1
G28	011111001000000100001	1
G78	011111101001000100000	1
G40	011111101100000000000	1
G67	011111110000000001101	1
G30	011111111010000000000	1
G60	011111111111000000111	1
G29	100000000000000111001	1
G63	100000000001110110111	1
G15	100000000111111111111	1
G85	100000001000011111111	1
G99	100000001001111111111	1
G61	100000010100111100000	1
G73	100000100001101011111	1
G46	100001000000101011100	1
G81	100010001000000000101	1
G66	100100100000110111111	1
G92	100110000101001101001	1
G98	100111000001101001101	1
G64	101000010100000101111	1
G11	101000010100110010110	1
G20	101010000001111111111	1
G79	101011111101000001011	1
G76	101100000111010100110	1
G62	101110111100111010001	1
G25	110000000000001111111	1
G68	110000000001111111111	1
G71	110000110100110000100	1
G24	110010011000001101100	1
G93	110010011011001111101	1
G72	110101111110101000000	1
G12	110110100001111111111	1
G47	110111111010000001101	1
G14	111000000000001111111	1
G37	111000000000011111111	1
G32	111010111100111110000	1
G51	111011110001000011100	1
G42	111011110010011101011	1
G19	111100000000000011110	1
G1	111110000000001111111	1
G13	111110000000011111111	1
G22	111110110100011101011	1
G74	111111001111101000000	1
G88	111111100000000000000	1
G16	111111111000011111111	1
G45	100000000000111111111	2
G57	100000000000111111111	2
G7	011111111110000000000	5
G23	011111111110000000000	5
G54	011111111110000000000	5
G58	011111111110000000000	5
G75	011111111110000000000	5
G10	100000000001111111111	6
G35	100000000001111111111	6
G50	100000000001111111111	6
G52	100000000001111111111	6
G94	100000000001111111111	6
G100	100000000001111111111	6
