Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G2	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0
G3	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0
G4	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1
G5	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0
G6	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0
G7	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0
G8	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G9	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G10	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G11	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1
G12	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1
G13	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0
G14	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G16	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G17	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
G18	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G19	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1
G20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
G21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G22	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G23	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
G24	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0
G25	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
G26	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0
G27	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1
G28	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G29	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G30	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1
G31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
G32	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
G33	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
G34	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0
G35	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0
G36	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1
G37	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G38	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0
G39	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1
G40	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1
G41	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G42	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1
G43	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0
G44	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1
G45	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0
G46	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G47	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G48	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G49	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
G50	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0
G51	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G52	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G53	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G54	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0
G55	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
G56	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G57	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G58	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G59	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1
G60	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G61	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
G62	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G63	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
G64	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G65	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0
G66	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0
G67	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G68	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0
G69	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G70	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1
G71	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G72	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
