Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G44 & G79)	0	2
G2	G2(1)	(!G47 & G54) | (G47 & !G54 & !G65)	0	3
G3	G3(1)	(!G75 & !G88) | (!G75 & G93) | (!G88 & G93) | (G75 & G88 & !G93)	0	3
G4	G4(1)	(!G79 & !G83 & G84) | (G83 & !G84) | (G79 & !G84)	0	3
G5	G5(1)	(!G54 & !G88) | (!G54 & G90) | (!G88 & G90)	0	3
G6	G6(1)	(G67 & !G98)	0	2
G7	G7(1)	(!G23 & !G88) | (!G27 & G88) | (G23 & G88)	0	3
G8	G8(1)	(!G42 & G48 & G93) | (G42 & !G48 & !G93)	0	3
G9	G9(1)	(G80 & !G100)	0	2
G10	G10(1)	(G91) | (G77)	0	2
G11	G11(1)	(G35 & !G100)	0	2
G12	G12(1)	(!G73 & !G81 & G91) | (G73 & G81)	0	3
G13	G13(1)	(!G42 & G47 & G60) | (G42 & !G47 & G60) | (G42 & G47 & !G60)	0	3
G14	G14(1)	(G85 & G95)	0	2
G15	G15(1)	(!G78 & !G81 & G91) | (G78 & !G81 & !G91) | (G78 & G81 & G91)	0	3
G16	G16(1)	(!G47 & !G56 & G93) | (G47 & G56 & !G93)	0	3
G17	G17(1)	(!G60 & !G100) | (!G60 & G99)	0	3
G18	G18(1)	(G68 & G89)	0	2
G19	G19(1)	(!G88 & !G92) | (!G81 & !G88) | (G81 & !G92)	0	3
G20	G20(1)	(G73)	0	1
G21	G21(1)	(!G68 & G91 & !G97) | (G68 & !G91 & G97)	0	3
G22	G22(1)	(!G24 & !G68) | (G24 & G68 & !G96)	0	3
G23	G23(1)	(G59)	0	1
G24	G24(1)	(!G54 & !G78 & !G88) | (!G54 & G78 & G88) | (G54 & G78 & !G88)	0	3
G25	G25(1)	(!G81 & G91) | (G73 & G81)	0	3
G26	G26(1)	(!G13 & G100) | (!G5 & G100) | (G5 & G13 & !G100)	0	3
G27	G27(1)	(!G69 & !G99) | (!G91 & G99)	0	3
G28	G28(1)	(G59 & !G88) | (!G54 & G59) | (G54 & !G59 & G88)	0	3
G29	G29(1)	(!G67 & !G94) | (G27 & !G67)	0	3
G30	G30(1)	(!G76 & !G93) | (!G76 & G99)	0	3
G31	G31(1)	(!G78 & !G89)	0	2
G32	G32(1)	(!G56 & G65 & G87) | (G56 & !G87) | (G56 & !G65)	0	3
G33	G33(1)	(!G82 & G94 & G99) | (G82 & !G94 & !G99)	0	3
G34	G34(1)	(!G32 & !G70 & G88) | (!G32 & G70 & !G88) | (G32 & G70 & G88)	0	3
