Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0
G2	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0
G3	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
G4	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
G5	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1
G6	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0
G7	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1
G8	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0
G9	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0
G10	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1
G11	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0
G12	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1
G13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G14	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0
G15	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1
G16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
G17	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
G18	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G19	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1
G20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
G21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
G22	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G23	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G24	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
G25	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G26	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1
G27	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1
G28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
G29	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G30	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
G31	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1
G32	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1
G33	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0
G34	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0
G35	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
G36	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G37	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G38	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0
G39	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0
G40	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1
G41	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G42	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G43	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0
G44	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0
G45	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1
G46	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G47	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G48	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G49	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G50	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G51	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G52	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G53	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G54	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0
G55	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1
G56	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G57	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G58	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G59	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0
G60	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1
G61	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G62	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G63	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
G64	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G65	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G66	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G67	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
G68	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0
G69	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G70	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
G71	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
G72	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G73	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G74	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G75	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1
G76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G77	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
G78	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1
G79	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
G80	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G81	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0
G82	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G83	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0
G84	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
G85	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0
G86	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
G87	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0
G88	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G89	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
G90	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1
G91	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0
G92	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1
G93	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1
G94	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0
G95	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0
G96	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1
G97	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1
G98	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0
G99	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0
G100	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0
