Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
G2	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
G3	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0
G4	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0
G5	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1
G6	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G7	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
G8	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1
G9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
G10	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G11	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
G12	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1
G13	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0
G14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
G15	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1
G16	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
G17	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0
G18	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
G19	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0
G20	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
G21	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
G22	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
G23	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0
G24	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
G25	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G26	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1
G27	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0
G28	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0
G29	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0
G30	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0
G31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
G32	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
G33	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
G34	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0
G35	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1
G36	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1
G37	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
G38	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1
G39	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0
G40	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0
G41	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1
G42	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0
G43	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G44	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G45	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G46	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0
G47	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0
G48	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1
G49	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0
G50	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G51	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
G53	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0
G54	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0
G55	0	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0
G56	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G57	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G58	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0
G59	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
G60	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
G61	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G62	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G63	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G64	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G65	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1
G66	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G67	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1
G68	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1
G69	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1
G70	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1
G71	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1
G72	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
G73	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
G74	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
G75	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1
G76	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1
G77	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
G78	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
G79	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0
G80	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
G81	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0
G82	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1
G83	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
G84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
