Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
G2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
G3	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G4	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G5	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0
G6	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
G7	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0
G8	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G9	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G10	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
