Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G85 & !G86 & !G88) | (G85 & !G86 & G88) | (G85 & G86 & !G88)	0	3
G2	G2(1)	(!G75 & !G95) | (!G75 & !G83) | (G83 & !G95)	0	3
G3	G3(1)	(!G78 & !G80) | (!G69 & !G80) | (G69 & !G78)	0	3
G4	G4(1)	(!G64 & !G83 & G92) | (G64 & G83 & G92)	0	3
G5	G5(1)	(!G80 & G82 & !G84) | (G80 & !G82 & !G84)	0	3
G6	G6(1)	(!G92) | (G82 & G86)	0	3
G7	G7(1)	(!G31 & !G72 & G82) | (G31 & G72)	0	3
G8	G8(1)	(!G71 & !G83 & !G100) | (G83 & G100) | (G71 & G100)	0	3
G9	G9(1)	(!G86 & !G90) | (G90 & G95)	0	3
G10	G10(1)	(G80 & G94)	0	2
G11	G11(1)	(!G80 & G87) | (G80 & !G87)	0	2
G12	G12(1)	(G20)	0	1
G13	G13(1)	(!G55)	0	1
G14	G14(1)	(!G33 & !G62 & G86) | (G33 & !G62 & !G86) | (G33 & G62 & G86)	0	3
G15	G15(1)	(!G73 & !G95)	0	2
G16	G16(1)	(!G86 & !G90) | (G90 & G95)	0	3
G17	G17(1)	(!G10 & !G69 & G77) | (G69 & !G77) | (G10 & !G77)	0	3
G18	G18(1)	(!G78 & !G90 & G92) | (G78 & !G90 & !G92)	0	3
G19	G19(1)	(G40 & !G58)	0	2
G20	G20(1)	(!G95) | (G86 & G91)	0	3
G21	G21(1)	(G80 & !G95)	0	2
G22	G22(1)	(!G47) | (G56)	0	2
G23	G23(1)	(!G86 & !G90) | (G90 & G95)	0	3
G24	G24(1)	(!G78 & !G95) | (G86 & !G95) | (G78 & G86)	0	3
G25	G25(1)	(!G95) | (G80)	0	2
G26	G26(1)	(!G81 & !G83 & !G84) | (!G81 & !G84 & G89) | (!G81 & G83 & G84 & !G89) | (G81 & !G83 & G84 & !G89)	0	4
G27	G27(1)	(G76 & !G97)	0	2
G28	G28(1)	(!G88 & !G91 & !G96) | (!G88 & G91 & G96)	0	3
G29	G29(1)	(!G95)	0	1
G30	G30(1)	(G81 & G92)	0	2
G31	G31(1)	(!G80 & G87) | (G80 & !G87)	0	2
G32	G32(1)	(!G46 & !G49) | (G64) | (G46 & G49)	0	3
G33	G33(1)	(!G96 & !G100) | (G95 & !G100)	0	3
G34	G34(1)	(!G95) | (G86 & G98)	0	3
G35	G35(1)	(!G95)	0	1
G36	G36(1)	(!G19) | (G80)	0	2
G37	G37(1)	(!G46 & !G47 & !G50) | (!G46 & G47 & G50) | (G46 & !G47 & G50)	0	3
G38	G38(1)	(!G82 & G89 & G92) | (G82 & !G89 & !G92)	0	3
G39	G39(1)	(!G57 & !G85 & G88) | (!G57 & G85 & !G88) | (G57 & !G85 & !G88)	0	3
G40	G40(1)	(!G92 & !G94 & G96) | (G94 & !G96) | (G92 & !G96) | (G92 & G94)	0	3
G41	G41(1)	(!G86 & !G90) | (G90 & G95)	0	3
G42	G42(1)	(!G83 & !G95) | (!G83 & G86) | (G86 & !G95)	0	3
G43	G43(1)	(!G88 & !G89 & !G97 & G100) | (G89 & !G97 & !G100) | (!G88 & G89 & !G100) | (!G88 & G89 & G97) | (G88 & !G97 & !G100) | (G88 & !G89 & G97 & G100)	0	4
G44	G44(1)	(!G72 & !G86 & G91) | (G72 & !G86 & !G91)	0	3
G45	G45(1)	(!G55)	0	1
G46	G46(1)	(!G25 & !G77 & G96) | (!G25 & G77 & !G96) | (G25 & !G77 & !G96)	0	3
G47	G47(1)	(!G61) | (G87)	0	2
G48	G48(1)	(G95 & !G98) | (!G86 & G95)	0	3
G49	G49(1)	(!G69 & !G96 & G100) | (G69 & !G100) | (G69 & G96)	0	3
G50	G50(1)	(!G2) | (G95)	0	2
G51	G51(1)	(!G71 & !G76 & G80) | (!G71 & G76 & !G80) | (G71 & G76 & G80)	0	3
G52	G52(1)	(!G37 & !G62 & G90) | (G37 & !G62 & !G90) | (G37 & G62 & G90)	0	3
G53	G53(1)	(!G69 & G86 & G100) | (G69 & !G86)	0	3
G54	G54(1)	(!G74 & !G82 & G95) | (G74 & G82 & G95)	0	3
G55	G55(1)	(!G35)	0	1
G56	G56(1)	(G58 & !G96) | (!G17 & G58) | (G17 & !G96) | (G17 & !G58)	0	3
G57	G57(1)	(!G95) | (G61)	0	2
G58	G58(1)	(!G55 & !G68)	0	2
G59	G59(1)	(!G86 & !G90) | (G90 & G95)	0	3
G60	G60(1)	(!G72 & !G80) | (!G80 & G97) | (G72 & G97)	0	3
G61	G61(1)	(!G95) | (G58)	0	2
G62	G62(1)	(!G17 & G76) | (!G2 & G17)	0	3
G63	G63(1)	(!G79 & !G90) | (!G90 & !G92 & G98) | (!G90 & G92 & !G98) | (G79 & G92 & !G98)	0	4
G64	G64(1)	(G24)	0	1
G65	G65(1)	(!G46 & G65) | (G46 & !G65 & !G88) | (G65 & G88)	0	3
G66	G66(1)	(!G43 & !G45) | (G43 & G45 & G60)	0	3
G67	G67(1)	(!G36) | (G2 & !G83)	0	3
G68	G68(1)	(!G14 & !G76)	0	2
G69	G69(1)	(!G26 & G69 & G82) | (G26 & !G82)	0	3
G70	G70(1)	(G64 & G79) | (G52 & G79) | (G52 & G64)	0	3
G71	G71(1)	(G61 & !G96) | (!G43 & G61) | (G43 & !G96) | (G43 & !G61)	0	3
G72	G72(1)	(!G92 & !G96 & !G100) | (!G88 & !G92 & !G100) | (!G88 & G92 & !G96 & G100) | (G88 & G92 & G96)	0	4
G73	G73(1)	(G69 & !G85 & !G96) | (G69 & G85 & G96)	0	3
G74	G74(1)	(!G46 & !G53 & G67) | (G53 & !G67)	0	3
G75	G75(1)	(G36 & !G94) | (G36 & !G78)	0	3
G76	G76(1)	(G90 & !G95) | (G86 & !G95) | (G86 & !G90)	0	3
G77	G77(1)	(!G78 & !G88) | (!G78 & G98)	0	3
G78	G78(1)	(!G85 & !G90 & !G91) | (!G83 & G90 & G91) | (G85 & G91) | (G83 & !G90 & G91)	0	4
G79	G79(1)	(!G40 & !G53 & G94) | (G40 & !G53 & !G94) | (G40 & G53 & G94)	0	3
G80	G80(1)	(!G50)	0	1
G81	G81(1)	(!G60 & !G88 & G96) | (!G60 & G88 & !G96)	0	3
G82	G82(1)	(!G81 & !G86 & !G95) | (!G81 & !G95 & G98) | (G86 & G95 & G98) | (!G86 & !G95 & G98) | (G81 & !G86 & G95)	0	4
G83	G83(1)	(!G79 & !G81 & !G83 & !G85) | (!G81 & G83 & G85) | (G79 & !G81 & G85) | (G79 & G81 & !G83 & !G85)	0	4
G84	G84(1)	(G66 & G83) | (G54 & !G66)	0	3
G85	G85(1)	(!G35 & !G77 & G82) | (!G35 & G77 & !G82)	0	3
G86	G86(1)	(G19)	0	1
G87	G87(1)	(!G61 & G76)	0	2
G88	G88(1)	(G86) | (G14)	0	2
G89	G89(1)	(!G66 & G82 & !G96) | (G66 & G96)	0	3
G90	G90(1)	(!G53 & G80) | (!G53 & G71) | (G53 & !G71 & !G80)	0	3
G91	G91(1)	(!G89 & !G97 & !G99 & G100) | (!G97 & G99 & !G100) | (G89 & !G97 & !G100) | (G89 & G97 & G99 & G100)	0	4
G92	G92(1)	(!G74 & G76) | (!G71 & G76) | (G71 & !G74)	0	3
G93	G93(1)	(G89 & !G94)	0	2
G94	G94(1)	(G96 & !G99) | (G78)	0	3
G95	G95(1)	(!G76) | (G97)	0	2
G96	G96(1)	(!G46 & !G64 & !G74) | (G46 & G74) | (G46 & G64)	0	3
G97	G97(1)	(!G85 & G91 & !G96) | (G85 & !G91)	0	3
G98	G98(1)	(!G85 & !G91 & !G96) | (!G85 & !G92 & G96) | (!G85 & G92 & !G96) | (G85 & G91 & !G92) | (G85 & G91 & G96)	0	4
G99	G99(1)	(!G61 & G73 & !G92) | (G61 & !G73 & !G92)	0	3
G100	G100(1)	(!G5 & !G26 & !G31) | (G26 & G31) | (G5 & G31) | (G5 & G26)	0	3
