Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G89 & G94)	0	2
G2	G2(1)	(G94) | (!G52 & G67) | (G52 & !G67)	0	3
G3	G3(1)	(!G18 & !G42 & G96) | (G42 & !G96)	0	3
G4	G4(1)	(G86)	0	1
G5	G5(1)	(!G8 & !G80)	0	2
G6	G6(1)	(!G6 & !G62) | (!G6 & G61) | (G61 & !G62)	0	3
G7	G7(1)	(G77 & !G88) | (G77 & G80)	0	3
G8	G8(1)	(G57 & !G68)	0	2
G9	G9(1)	(!G67 & !G89 & !G96 & !G97) | (!G67 & !G89 & G96 & G97) | (G89 & !G96 & G97) | (G89 & G96 & !G97) | (G67 & !G96 & G97)	0	4
G10	G10(1)	(!G77 & G89 & G97) | (G77 & !G89 & !G97)	0	3
G11	G11(1)	(!G7 & !G83) | (G34 & G83) | (G7 & G83)	0	3
G12	G12(1)	(!G89 & G94)	0	2
G13	G13(1)	(G89 & !G95)	0	2
G14	G14(1)	(!G77 & !G97) | (G73)	0	3
G15	G15(1)	(!G92) | (G88)	0	2
G16	G16(1)	(!G86 & G100) | (G65 & !G86) | (G65 & G100)	0	3
G17	G17(1)	(!G53 & G62) | (G53 & !G62 & !G98) | (G62 & G98)	0	3
G18	G18(1)	(!G48 & !G83 & !G89) | (G48 & !G83 & G89)	0	3
G19	G19(1)	(!G94) | (G89)	0	2
G20	G20(1)	(!G94) | (G89)	0	2
G21	G21(1)	(!G95 & !G100) | (!G92 & !G95)	0	3
G22	G22(1)	(G75 & !G93)	0	2
G23	G23(1)	(!G28 & G57) | (G28 & !G57)	0	2
G24	G24(1)	(!G94)	0	1
G25	G25(1)	(!G46 & !G100) | (!G25 & G100) | (G25 & !G100) | (G46 & G100)	0	3
G26	G26(1)	(!G88) | (G48 & G65)	0	3
G27	G27(1)	(!G63) | (!G15)	0	2
G28	G28(1)	(G55 & !G73)	0	2
G29	G29(1)	(!G68 & !G93) | (G80 & !G93)	0	3
