Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(G99)	0	1
G2	G2(1)	(G51)	0	1
G3	G3(1)	(G81)	0	1
G4	G4(1)	(G54 & G56 & G100)	0	3
G5	G5(1)	(G89)	0	1
G6	G6(1)	(G46 & !G48 & G98) | (G46 & G48 & !G98)	0	3
G7	G7(1)	(!G89)	0	1
G8	G8(1)	(!G6 & !G15 & !G34) | (G15 & G34) | (G6 & G34) | (G6 & G15)	0	3
G9	G9(1)	(G59) | (G25 & G56)	0	3
G10	G10(1)	(!G67 & !G92) | (!G67 & !G87 & G100) | (!G92 & G100) | (G67 & !G87 & G92 & !G100)	0	4
G11	G11(1)	(!G58 & !G66 & !G90) | (G58 & G66 & !G90)	0	3
G12	G12(1)	(G81)	0	1
G13	G13(1)	(G82)	0	1
G14	G14(1)	(!G50)	0	1
G15	G15(1)	(!G42 & !G75) | (G42 & !G60 & G75)	0	3
G16	G16(1)	(!G53 & !G72 & !G100) | (!G53 & !G72 & !G83) | (!G72 & G83 & !G100) | (G53 & !G72 & G83) | (G53 & G72 & !G83 & G100)	0	4
G17	G17(1)	(!G87) | (G74)	0	2
G18	G18(1)	(!G87)	0	1
G19	G19(1)	(!G90 & !G100) | (G90 & G96 & G100)	0	3
G20	G20(1)	(!G33 & !G60 & !G76) | (!G33 & G60 & G76)	0	3
G21	G21(1)	(G81)	0	1
G22	G22(1)	(G82)	0	1
G23	G23(1)	(G58 & G68) | (G35 & !G58)	0	3
G24	G24(1)	(!G98) | (!G82)	0	2
G25	G25(1)	(!G1 & !G31 & !G44) | (!G1 & G31 & G44)	0	3
G26	G26(1)	(!G91 & !G96) | (!G77 & G96)	0	3
G27	G27(1)	(!G83 & !G91) | (G71 & !G91) | (G71 & G83)	0	3
G28	G28(1)	(G58 & G60) | (G41 & !G58)	0	3
G29	G29(1)	(G82)	0	1
G30	G30(1)	(G82)	0	1
G31	G31(1)	(!G8 & G26 & !G60) | (G8 & G26 & G60)	0	3
G32	G32(1)	(G50 & G59) | (G45 & !G50 & !G59)	0	3
G33	G33(1)	(!G82 & !G90 & G91) | (G82 & !G90 & !G91) | (G82 & G90 & G91)	0	3
G34	G34(1)	(!G76 & !G98) | (G76 & G96 & G98)	0	3
G35	G35(1)	(!G41 & G67) | (G41 & G54 & !G67)	0	3
G36	G36(1)	(G81)	0	1
G37	G37(1)	(G82) | (G27)	0	2
G38	G38(1)	(G50 & G59)	0	2
G39	G39(1)	(!G19 & !G43 & !G81) | (!G19 & G43 & G81) | (G19 & !G43 & G81) | (G19 & G43 & !G81)	0	3
G40	G40(1)	(!G82 & !G87 & G96) | (!G82 & G87 & !G96)	0	3
G41	G41(1)	(!G70 & G90) | (G70 & !G90) | (G33)	0	3
G42	G42(1)	(!G58 & !G82 & G83 & G98) | (!G58 & G82 & !G98) | (G58 & !G82 & !G83)	0	4
G43	G43(1)	(!G83 & !G91) | (!G83 & G96) | (!G91 & G96) | (G83 & G91 & !G96)	0	3
G44	G44(1)	(G32 & !G54) | (G11 & G32)	0	3
G45	G45(1)	(!G85 & G100) | (G83 & G85 & !G100)	0	3
G46	G46(1)	(G49) | (!G42 & G46) | (G42 & !G46)	0	3
G47	G47(1)	(!G82)	0	1
G48	G48(1)	(!G56 & !G83) | (!G56 & G68) | (G56 & !G68 & G83)	0	3
G49	G49(1)	(!G45 & G46 & !G67 & G83) | (!G45 & G46 & G67 & !G83) | (G45 & !G67 & !G83) | (G45 & !G46 & !G67)	0	4
G50	G50(1)	(!G74 & G87)	0	2
G51	G51(1)	(!G54 & !G91) | (G54 & G91)	0	2
G52	G52(1)	(!G26 & G83 & !G92) | (G26 & !G83 & G92)	0	3
G53	G53(1)	(!G49 & G98 & G100) | (G49 & G98 & !G100)	0	3
G54	G54(1)	(!G19 & G27)	0	2
G55	G55(1)	(!G82)	0	1
G56	G56(1)	(!G70 & !G87) | (!G87 & G92)	0	3
G57	G57(1)	(G82)	0	1
G58	G58(1)	(!G67 & !G70 & !G73 & !G90) | (G70 & G73 & G90) | (G67 & !G70 & !G73 & G90) | (G67 & G70 & !G73 & !G90)	0	4
G59	G59(1)	(!G76 & !G82)	0	2
G60	G60(1)	(G54 & G56 & !G67) | (G46 & !G56 & G67) | (G46 & !G54 & G67)	0	4
G61	G61(1)	(!G85)	0	1
G62	G62(1)	(!G81)	0	1
G63	G63(1)	(!G94)	0	1
G64	G64(1)	(G94)	0	1
G65	G65(1)	(G73 & G75)	0	2
G66	G66(1)	(G43 & !G45 & !G49) | (G43 & G45 & G49)	0	3
G67	G67(1)	(!G59 & !G68 & !G73 & G100) | (!G59 & G68 & G73) | (G59 & G73 & G100) | (G59 & G68 & !G73 & !G100)	0	4
G68	G68(1)	(!G2 & !G89)	0	2
G69	G69(1)	(!G94)	0	1
G70	G70(1)	(!G9 & G39 & !G92) | (G9 & G92)	0	3
G71	G71(1)	(!G68 & G100) | (!G68 & G77) | (G77 & G100)	0	3
G72	G72(1)	(!G24 & G94) | (G24 & !G94)	0	2
G73	G73(1)	(G85)	0	1
G74	G74(1)	(!G82 & !G87)	0	2
G75	G75(1)	(!G81 & G89) | (G81 & !G89)	0	2
G76	G76(1)	(G96 & G99)	0	2
G77	G77(1)	(!G71 & !G72 & G83 & !G92) | (G71 & !G72 & !G83) | (G71 & !G83 & G92)	0	4
G78	G78(1)	(G82)	0	1
G79	G79(1)	(!G82)	0	1
G80	G80(1)	(G94)	0	1
G81	G81(1)	(!G82 & G97) | (G82 & !G97)	0	2
G82	G82(1)	(G71 & G75)	0	2
G83	G83(1)	(!G9 & !G44 & G91) | (G44 & !G91) | (G9 & !G91)	0	3
G84	G84(1)	(G82)	0	1
G85	G85(1)	(!G81)	0	1
G86	G86(1)	(!G82) | (G98)	0	2
G87	G87(1)	(G62)	0	1
G88	G88(1)	(!G82) | (G98)	0	2
G89	G89(1)	(!G94)	0	1
G90	G90(1)	(!G54 & !G60) | (!G53 & !G54) | (G53 & G54 & G60)	0	3
G91	G91(1)	(!G82) | (G98)	0	2
G92	G92(1)	(!G33 & !G90) | (G43 & !G90) | (G33 & G43)	0	3
G93	G93(1)	(G89)	0	1
G94	G94(1)	(!G59) | (!G50)	0	2
G95	G95(1)	(G97)	0	1
G96	G96(1)	(!G46 & G96) | (G83 & !G96)	0	3
G97	G97(1)	(G89)	0	1
G98	G98(1)	(!G82)	0	1
G99	G99(1)	(G92 & !G100)	0	2
G100	G100(1)	(!G87 & !G92 & G100) | (G87 & !G92 & !G100) | (G70 & !G87 & G100) | (G70 & !G92 & G100)	0	4
