Gene	Pattern	Frequency
G77	000000000000000000011	1
G91	000000000000000001001	1
G55	000000000000000011000	1
G37	000000000000010000000	1
G71	000000000000010000100	1
G44	000000000000010001000	1
G100	000000000000111000000	1
G86	000000000001010000000	1
G95	000000000100000100000	1
G17	000000010000000000000	1
G35	000000010110000000000	1
G60	000000011110000000000	1
G82	000000100001000000000	1
G21	000000110000000000000	1
G32	000001111111110000000	1
G16	000010000000000000000	1
G96	000010000100000000000	1
G51	000100000000000000000	1
G34	000100000000100000000	1
G85	001110110100000000000	1
G79	010001000000000000000	1
G90	011111111111000000000	1
G4	011111111111111111111	1
G53	100000000000000011111	1
G1	101111111111111111111	1
G41	110000000001111111111	1
G81	110101001011100111011	1
G7	110111111111111111111	1
G39	111000000000111111111	1
G25	111000000111111111111	1
G46	111100000000000111111	1
G68	111110000000000011111	1
G84	111110111111111111111	1
G19	111111000000001111111	1
G67	111111100000011111111	1
G74	111111101101111111111	1
G12	111111110000111111111	1
G26	111111111000001111111	1
G66	111111111001111111111	1
G10	111111111011111111111	1
G72	111111111101111111111	1
G28	111111111110000001111	1
G52	111111111110111111111	1
G3	111111111111110111111	1
G59	111111111111111011001	1
G13	111111111111111011111	1
G14	111111111111111100011	1
G31	111111111111111111011	1
G69	111111111111111111101	1
G5	000000000000000000100	2
G49	000000000000000000100	2
G43	000000000000000001000	2
G65	000000000000000001000	2
G50	000000000000000100000	2
G92	000000000000000100000	2
G61	000000000001000000000	2
G64	000000000001000000000	2
G47	000000000010000000000	2
G97	000000000010000000000	2
G58	000000000100000000000	2
G88	000000000100000000000	2
G29	001000000000000000000	2
G54	001000000000000000000	2
G38	011111111110000000000	2
G98	011111111110000000000	2
G9	100000000001111111111	2
G83	100000000001111111111	2
G20	110000000000000000000	2
G89	110000000000000000000	2
G76	111111011111111111111	2
G87	111111011111111111111	2
G22	111111110111111111111	2
G62	111111110111111111111	2
G40	111111111111111111110	2
G73	111111111111111111110	2
G15	000000000000000000010	3
G75	000000000000000000010	3
G99	000000000000000000010	3
G57	000000000000001000000	3
G93	000000000000001000000	3
G94	000000000000001000000	3
G23	000001000000000000000	3
G45	000001000000000000000	3
G63	000001000000000000000	3
G2	010000000000000000000	3
G8	010000000000000000000	3
G70	010000000000000000000	3
G6	100000000000000000000	5
G11	100000000000000000000	5
G18	100000000000000000000	5
G27	100000000000000000000	5
G36	100000000000000000000	5
G24	000000000000100000000	8
G30	000000000000100000000	8
G33	000000000000100000000	8
G42	000000000000100000000	8
G48	000000000000100000000	8
G56	000000000000100000000	8
G78	000000000000100000000	8
G80	000000000000100000000	8
