Gene	Pattern	Frequency
G1	000000000000100111011	1
G24	000000000001111111111	1
G40	000000000110101110000	1
G7	000000001010001010001	1
G90	000000001101111110100	1
G38	000000001110101111101	1
G86	000000011111000100000	1
G64	000000011111100000000	1
G88	000000101011111100100	1
G60	000001000000111100111	1
G48	000001111100100000000	1
G37	000001111111111100000	1
G42	000010010000101010000	1
G2	000010100000000000000	1
G94	000011000000000001100	1
G14	000011111111000000000	1
G33	000011111111110000000	1
G50	000011111111111100000	1
G92	000100000100010000111	1
G39	000101011111000100001	1
G58	000111101101000011100	1
G32	000111111111000000000	1
G44	000111111111000010010	1
G4	001000001011111111111	1
G31	001011111110000000000	1
G93	001111111110000000000	1
G30	001111111111000000000	1
G13	001111111111100000000	1
G11	010000000100111111111	1
G35	010000010000000000101	1
G61	010000111101010101000	1
G45	010001010001011111101	1
G21	010100000110100010000	1
G82	010101001010000000001	1
G47	010111000100000000001	1
G85	011000101011100110001	1
G49	011000111000000000011	1
G56	011010011110000001000	1
G62	011111010000001000000	1
G10	011111100000010100010	1
G46	011111101111110100101	1
G5	011111111001000000000	1
G25	100000000000011111111	1
G97	100000000000111111111	1
G78	100000000001111011110	1
G57	100000000010100000001	1
G17	100000001001100101111	1
G69	100001011000111101000	1
G76	100001111111011011100	1
G34	100010000000000000000	1
G23	100110010000010110001	1
G73	101000000001010010010	1
G55	101000000100001000011	1
G63	101110001000011110110	1
G81	101110001111010011111	1
G74	101111110010010100110	1
G15	101111111110000011000	1
G53	110000000000001111111	1
G79	110000000001111011111	1
G22	110001010011111101111	1
G71	110010000000100000001	1
G77	110010100100001101101	1
G41	110011111110010110111	1
G65	110100011000000000010	1
G84	110111010001011100111	1
G3	111001101111000100111	1
G72	111011010100000000000	1
G36	111100000000000000111	1
G68	111100000000000111111	1
G27	111100000000111011011	1
G96	111101110111010101000	1
G26	111110000000000011111	1
G51	111110000000001100111	1
G99	111110010011001011110	1
G91	111110100111000001011	1
G18	111111011000000000000	1
G6	111111011111010000000	1
G20	111111110110000000000	1
G8	111111110111000000000	1
G28	111111111110000001111	1
G70	111111111110110100111	1
G87	000000111111110000000	2
G100	000000111111110000000	2
G52	111111111110000000000	2
G89	111111111110000000000	2
G12	111110000000011111111	4
G19	111110000000011111111	4
G54	111110000000011111111	4
G67	111110000000011111111	4
G9	100000000001111111111	5
G29	100000000001111111111	5
G43	100000000001111111111	5
G80	100000000001111111111	5
G83	100000000001111111111	5
G16	011111111110000000000	6
G59	011111111110000000000	6
G66	011111111110000000000	6
G75	011111111110000000000	6
G95	011111111110000000000	6
G98	011111111110000000000	6
