Gene	Pattern	Frequency
G71	000000000000000001010	1
G25	000000000000000010000	1
G51	000000000000000010011	1
G66	000000000000000100000	1
G47	000000000000000100100	1
G65	000000000000001000000	1
G22	000000000000011000000	1
G78	000000000000100000000	1
G90	000000000010100000000	1
G48	000000010000000000000	1
G80	000000100010000000000	1
G85	000000110110000000000	1
G4	000000111011011111111	1
G74	000001000001000000000	1
G37	000001111111111110000	1
G86	000011111110000000000	1
G87	000111111111110100000	1
G16	000111111111111111111	1
G84	001000000000000010010	1
G5	001000000000010000000	1
G42	001000100110010100100	1
G82	010000000000000000000	1
G34	011111111111111111111	1
G53	100000000000000001000	1
G9	100000000000111111111	1
G29	100000000001111111111	1
G31	100000000110000000000	1
G13	101111111111110001000	1
G11	111000000000011111111	1
G58	111001011101111111111	1
G12	111100000000011111111	1
G49	111100101111010011111	1
G76	111101111111111111111	1
G26	111110000000000011111	1
G68	111110000000001111111	1
G67	111110000000011111111	1
G91	111111000000000000000	1
G10	111111100001111111111	1
G81	111111111101111111111	1
G20	111111111110000000000	1
G39	111111111110111111111	1
G41	111111111111011111111	1
G14	111111111111111011011	1
G92	111111111111111101111	1
G28	000000000000000000001	2
G97	000000000000000000001	2
G43	000000000000000001000	2
G54	000000000000000001000	2
G23	000000000000010000000	2
G50	000000000000010000000	2
G55	000000100000000000000	2
G94	000000100000000000000	2
G33	000011111111110000000	2
G100	000011111111110000000	2
G30	000100000000000000000	2
G98	000100000000000000000	2
G2	011111111110000000000	2
G8	011111111110000000000	2
G1	111011111111111111111	2
G17	111011111111111111111	2
G69	111111110111111111111	2
G96	111111110111111111111	2
G63	111111111111111111101	2
G73	111111111111111111101	2
G19	000000000000000000010	3
G60	000000000000000000010	3
G99	000000000000000000010	3
G7	000000000001000000000	4
G21	000000000001000000000	4
G38	000000000001000000000	4
G64	000000000001000000000	4
G35	000000000010000000000	4
G70	000000000010000000000	4
G83	000000000010000000000	4
G95	000000000010000000000	4
G15	000000001000000000000	4
G32	000000001000000000000	4
G44	000000001000000000000	4
G46	000000001000000000000	4
G6	001000000000000000000	4
G27	001000000000000000000	4
G52	001000000000000000000	4
G72	001000000000000000000	4
G3	111111111111111110111	4
G75	111111111111111110111	4
G77	111111111111111110111	4
G79	111111111111111110111	4
G24	101111111111111111111	5
G40	101111111111111111111	5
G45	101111111111111111111	5
G57	101111111111111111111	5
G88	101111111111111111111	5
G18	100000000000000000000	8
G36	100000000000000000000	8
G56	100000000000000000000	8
G59	100000000000000000000	8
G61	100000000000000000000	8
G62	100000000000000000000	8
G89	100000000000000000000	8
G93	100000000000000000000	8
