Gene	Pattern	Frequency
G63	000000000000001101100	1
G35	000000000000101000110	1
G4	000000000000110110010	1
G11	000000000001111111101	1
G82	000000000100101000000	1
G73	000000001101000000000	1
G37	000000011011111110000	1
G33	000000111111110000000	1
G21	000000111111111111110	1
G55	000001001100010110000	1
G85	000001011011111100011	1
G40	000001011111111000000	1
G100	000001111111011100001	1
G69	000010100111000110101	1
G90	000011111110100000010	1
G38	000011111111100000000	1
G50	000011111111111000000	1
G1	000100000101111111100	1
G81	000101001110001111001	1
G83	000111011111011001101	1
G48	000111111010000000100	1
G32	000111111111000000000	1
G88	000111111111001111100	1
G9	000111111111100000000	1
G57	001000000010001010111	1
G28	001001011011100110000	1
G7	001010101011010001001	1
G34	001011000000110011000	1
G26	001011111111000000000	1
G94	001100011000000101000	1
G97	001101100111010000010	1
G98	001111111110000000000	1
G30	001111111111000000000	1
G17	010011110011100000111	1
G65	010100000101000100111	1
G16	010100100101000100000	1
G44	010101110100000001000	1
G84	011000011110011111000	1
G70	011001101100000000000	1
G54	011010000000111011111	1
G3	011010000010101111110	1
G24	011100001010011111111	1
G75	011101100000111101011	1
G23	011110010001101101100	1
G25	100000000000000000011	1
G13	100000000000001111111	1
G74	100000000000011110011	1
G78	100000000001111111110	1
G72	100000010010000000000	1
G2	100001101000000010000	1
G64	100010001101000011001	1
G22	100010100000110000100	1
G66	100010100010100010011	1
G10	100011111100010010000	1
G42	100100100000101000111	1
G60	100100110100111110111	1
G67	100111101100011010010	1
G31	100111110100001000000	1
G87	101001110011010100000	1
G99	101100111101110110111	1
G18	101111100000000000111	1
G56	101111110010011011001	1
G27	101111111000000011111	1
G49	110000000000011111111	1
G86	110000011111000010100	1
G6	110001001001100001101	1
G79	110001101011010101001	1
G47	110001101111110010110	1
G76	110010100101000100001	1
G45	110011001000101000100	1
G52	111000000000001100101	1
G53	111000000000001111111	1
G93	111001001001110110110	1
G41	111010110010000010000	1
G14	111100000000000011111	1
G19	111110000000011111111	1
G80	111110001011100001000	1
G71	111110010110000000110	1
G36	111111000000000000111	1
G62	111111000000000001111	1
G91	111111000000001111111	1
G58	111111001100000011000	1
G61	111111110001000001111	1
G8	111111111100000000000	1
G77	111111111100101101111	1
G89	111111111110000000000	1
G68	111111111110000111111	1
G20	111111111111000001111	1
G12	011111111110000000000	2
G95	011111111110000000000	2
G15	111100000000001111111	2
G39	111100000000001111111	2
G46	111110000000001111111	2
G51	111110000000001111111	2
G5	100000000001111111111	6
G29	100000000001111111111	6
G43	100000000001111111111	6
G59	100000000001111111111	6
G92	100000000001111111111	6
G96	100000000001111111111	6
