Gene	Pattern	Frequency
G93	000000000000011100000	1
G94	000000000000011101000	1
G95	000000000100000110100	1
G61	000000000101000000000	1
G64	000000000111110000000	1
G92	000000001000001110011	1
G37	000000001111111111000	1
G60	000000011110000000000	1
G1	000000111111010000000	1
G80	000001000001100000000	1
G17	000001011110110100001	1
G32	000001111111110000000	1
G16	000010000000010011000	1
G33	000010011111111110000	1
G35	000010111110000000000	1
G82	000011110001101100000	1
G13	000011111111100000000	1
G30	000011111111111110000	1
G88	000101111111111000000	1
G99	001000011000001000010	1
G50	001101100011111110000	1
G59	001101111111000000001	1
G85	001110110100000000000	1
G10	001111010000011111111	1
G14	001111111111010000000	1
G40	001111111111111111000	1
G55	010000000000000011001	1
G76	010001000111010011101	1
G79	010001010000000000000	1
G45	010011001001101101000	1
G34	010100000011100011010	1
G70	010100001000001011010	1
G72	010101000101100101000	1
G23	010101001100110001011	1
G56	011000010111111110000	1
G4	011111111110111000000	1
G36	100000000000000000010	1
G49	100000000000000000111	1
G53	100000000000000011111	1
G75	100000000000000111111	1
G65	100000000001110001111	1
G100	100000000001111111011	1
G44	100000000001111111101	1
G42	100000000111110100000	1
G71	100000100001111111111	1
G69	100001001101111100000	1
G63	100001101110000001110	1
G96	100010000111100001111	1
G58	100101000110000100000	1
G3	100111000010010000100	1
G22	100111010011010100101	1
G31	101001000001100000001	1
G47	101100010010111000011	1
G57	101101011011001000110	1
G52	101101110000001111111	1
G97	101101111111111001011	1
G21	101110110011010100000	1
G89	110000000000000000000	1
G18	110000000000000111101	1
G6	110000000000000111111	1
G5	110000000000001001101	1
G11	110000000000011111010	1
G91	110000000000011111111	1
G25	110000000000111111111	1
G74	110000000101111111111	1
G86	110000000111110010000	1
G2	110000100000000111100	1
G7	110101001001010011000	1
G81	110101001011100111011	1
G84	110110001001111001010	1
G73	110111111100111101110	1
G62	111000000000000011111	1
G29	111000000000000111111	1
G27	111000000000011111111	1
G39	111000000000111111111	1
G46	111100000000000111111	1
G77	111100000000111111111	1
G87	111100001011111101001	1
G51	111101100110000010001	1
G8	111110000000000000000	1
G68	111110000000000011111	1
G12	111111000000011111111	1
G26	111111100000000011111	1
G67	111111100000011111111	1
G43	111111101100100011001	1
G15	111111101110000000110	1
G66	111111110001111111111	1
G20	111111110100000000000	1
G28	111111111000000000111	1
G48	000000000001110000000	2
G78	000000000001110000000	2
G19	111111000000000111111	2
G54	111111000000000111111	2
G38	011111111110000000000	3
G90	011111111110000000000	3
G98	011111111110000000000	3
G9	100000000001111111111	4
G24	100000000001111111111	4
G41	100000000001111111111	4
G83	100000000001111111111	4
